cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
10911403,Violanone,Flavonoids,1,Isoflavonoids,316,316,Aglycone,86
10901403,6''-O-Malonyldaidzin,Flavonoids,1,Isoflavonoids,502,254,Glycoside,86
10901003,Daidzin,Flavonoids,1,Isoflavonoids,416,254,Glycoside,86
10900703,Glycitin,Flavonoids,1,Isoflavonoids,448,284,Glycoside,86
10907403,Puerarin,Flavonoids,1,Isoflavonoids,416,254,Glycoside,86
10904803,Daidzein 4'-O-glucuronide,Flavonoids,1,Isoflavonoids,430,254,Glucuronide,86
10905003,Daidzein 7-O-glucuronide,Flavonoids,1,Isoflavonoids,430,254,Glucuronide,86
10907503,Daidzin 4'-O-glucuronide,Flavonoids,1,Isoflavonoids,592,254,Glucuronide,86
10905303,Dihydrodaidzein 7-O-glucuronide,Flavonoids,1,Isoflavonoids,432,256,Glucuronide,86
10908503,Equol 4'-O-glucuronide,Flavonoids,1,Isoflavonoids,418,242,Glucuronide,86
10908403,Equol 7-O-glucuronide,Flavonoids,1,Isoflavonoids,418,242,Glucuronide,86
10905803,Formononetin 7-O-glucuronide,Flavonoids,1,Isoflavonoids,444,268,Glucuronide,86
10906003,"Genistein 4',7-O-diglucuronide",Flavonoids,1,Isoflavonoids,622,270,Glucuronide,86
10906203,Genistein 4'-O-glucuronide,Flavonoids,1,Isoflavonoids,446,270,Glucuronide,86
10906403,Genistein 5-O-glucuronide,Flavonoids,1,Isoflavonoids,446,270,Glucuronide,86
10906503,Genistein 7-O-glucuronide,Flavonoids,1,Isoflavonoids,446,270,Glucuronide,86
10906703,Glycitein 4'-O-glucuronide,Flavonoids,1,Isoflavonoids,460,284,Glucuronide,86
10906803,Glycitein 7-O-glucuronide,Flavonoids,1,Isoflavonoids,460,284,Glucuronide,86
10907603,Irisolidone 7-O-glucuronide,Flavonoids,1,Isoflavonoids,490,314,Glucuronide,86
10907803,Tectorigenin 4'-sulfate,Flavonoids,1,Isoflavonoids,380,300,Sulfate,86
10907703,Tectorigenin 7-sulfate,Flavonoids,1,Isoflavonoids,380,300,Sulfate,86
10102203,Cyanidin,Flavonoids,1,Anthocyanins,287,287,Aglycone,57
10102103,Pelargonidin,Flavonoids,1,Anthocyanins,271,271,Aglycone,57
10101703,Peonidin,Flavonoids,1,Anthocyanins,301,301,Aglycone,57
10115903,4'-O-Methylcyanidin 3-O-D-glucoside,Flavonoids,1,Anthocyanins,463,300,Glycoside,57
10116503,4-O-Methyldelphinidin 3-O-D-glucoside,Flavonoids,1,Anthocyanins,479,316,Glycoside,57
10117603,4'-O-Methyldelphinidin 3-O-rutinoside,Flavonoids,1,Anthocyanins,625,317,Glycoside,57
10108203,"Cyanidin 3,5-O-diglucoside",Flavonoids,1,Anthocyanins,611,287,Glycoside,57
10110103,"Cyanidin 3-O-(2""-xylosyl-6""-(6""'-feruloyl-glucosyl)-galactoside)",Flavonoids,1,Anthocyanins,919,287,Glycoside,57
10110003,"Cyanidin 3-O-(2""-xylosyl-6""-(6""'-sinapoyl-glucosyl)-galactoside)",Flavonoids,1,Anthocyanins,949,287,Glycoside,57
10109603,"Cyanidin 3-O-(2""-xylosyl-6""-glucosyl-galactoside)",Flavonoids,1,Anthocyanins,743,287,Glycoside,57
10109803,"Cyanidin 3-O-(2""-xylosyl-galactoside)",Flavonoids,1,Anthocyanins,581,287,Glycoside,57
10117403,Cyanidin 3-O-(2-O-(6-O-(E)-caffeoyl-D glucoside)-D-glucoside)-5-O-D-glucoside,Flavonoids,1,Anthocyanins,935,287,Glycoside,57
10116203,"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",Flavonoids,1,Anthocyanins,621,287,Glycoside,57
10108703,Cyanidin 3-O-(6''-dioxalyl-glucoside),Flavonoids,1,Anthocyanins,593,287,Glycoside,57
10101603,Cyanidin 3-O-(6''-malonyl-glucoside),Flavonoids,1,Anthocyanins,535,287,Glycoside,57
10103503,Cyanidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,419,287,Glycoside,57
10114103,Cyanidin 3-O-diglucoside-5-O-glucoside,Flavonoids,1,Anthocyanins,773,287,Glycoside,57
10100803,Cyanidin 3-O-galactoside,Flavonoids,1,Anthocyanins,449,287,Glycoside,57
10100903,Cyanidin 3-O-glucoside,Flavonoids,1,Anthocyanins,449,287,Glycoside,57
10102403,Cyanidin 3-O-glucosyl-rutinoside,Flavonoids,1,Anthocyanins,757,287,Glycoside,57
10101003,Cyanidin 3-O-rutinoside,Flavonoids,1,Anthocyanins,595,287,Glycoside,57
10105303,Cyanidin 3-O-sambubioside,Flavonoids,1,Anthocyanins,581,287,Glycoside,57
10108003,Cyanidin 3-O-sambubioside 5-O-glucoside,Flavonoids,1,Anthocyanins,743,287,Glycoside,57
10101103,Cyanidin 3-O-sophoroside,Flavonoids,1,Anthocyanins,611,287,Glycoside,57
10105603,Cyanidin 3-O-xyloside,Flavonoids,1,Anthocyanins,419,287,Glycoside,57
10106503,Cyanidin 3-O-xylosyl-rutinoside,Flavonoids,1,Anthocyanins,727,287,Glycoside,57
10103203,Delphinidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,435,303,Glycoside,57
10103003,Delphinidin 3-O-galactoside,Flavonoids,1,Anthocyanins,465,303,Glycoside,57
10103103,Delphinidin 3-O-glucoside,Flavonoids,1,Anthocyanins,465,303,Glycoside,57
10105203,Delphinidin 3-O-rutinoside,Flavonoids,1,Anthocyanins,611,303,Glycoside,57
10116603,Isopeonidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,433,301,Glycoside,57
10116703,Isopeonidin 3-O-galactoside,Flavonoids,1,Anthocyanins,463,301,Glycoside,57
10116803,Isopeonidin 3-O-glucoside,Flavonoids,1,Anthocyanins,463,301,Glycoside,57
10116903,Isopeonidin 3-O-rutinoside,Flavonoids,1,Anthocyanins,609,301,Glycoside,57
10117003,Isopeonidin 3-O-sambubioside,Flavonoids,1,Anthocyanins,595,301,Glycoside,57
10117103,Isopeonidin 3-O-xyloside,Flavonoids,1,Anthocyanins,433,301,Glycoside,57
10104003,Malvidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,463,331,Glycoside,57
10105703,Malvidin 3-O-galactoside,Flavonoids,1,Anthocyanins,493,331,Glycoside,57
10103903,Malvidin 3-O-glucoside,Flavonoids,1,Anthocyanins,493,331,Glycoside,57
10105403,Pelargonidin 3-O-(6''-malonyl-glucoside),Flavonoids,1,Anthocyanins,519,271,Glycoside,57
10101203,Pelargonidin 3-O-glucoside,Flavonoids,1,Anthocyanins,433,271,Glycoside,57
10102603,Pelargonidin 3-O-glucosyl-rutinoside,Flavonoids,1,Anthocyanins,741,271,Glycoside,57
10102503,Pelargonidin 3-O-sophoroside,Flavonoids,1,Anthocyanins,579,271,Glycoside,57
10114903,Peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-D-glucosyl)-D-glucoside)-5-O-D-glucoside,Flavonoids,1,Anthocyanins,949,301,Glycoside,57
10105803,Peonidin 3-O-arabinoside,Flavonoids,1,Anthocyanins,433,301,Glycoside,57
10114203,Peonidin 3-O-diglucoside-5-O-glucoside,Flavonoids,1,Anthocyanins,787,301,Glycoside,57
10103703,Peonidin 3-O-galactoside,Flavonoids,1,Anthocyanins,463,301,Glycoside,57
10101803,Peonidin 3-O-glucoside,Flavonoids,1,Anthocyanins,463,301,Glycoside,57
10101903,Peonidin 3-O-rutinoside,Flavonoids,1,Anthocyanins,609,301,Glycoside,57
10115503,Peonidin 3-O-sambubioside,Flavonoids,1,Anthocyanins,595,301,Glycoside,57
10115603,Peonidin 3-O-sambubioside-5-O-glucoside,Flavonoids,1,Anthocyanins,757,301,Glycoside,57
