Cereal & cereal prod.
Leafy veg
Fruiting veg
Root veg
Cabbages
Grain & pod veg
Onion & garlic
Stalk veg & sprouts
Legumes
Nuts & seeds
Olives
Breakfast cereals
Chocolate & candy
Wine
Soya products
Citrus fruits
Apple & pear
Grape
Berries
Olive oil
Citrus juices
Coffee
Tea
Herbal tea
Red wine
Beer
Cider
Non-white bread
