bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
1461,259,Experimental food,dog,Other,10500503,105005,epicatechin gallate,(-)-Epicatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1463,260,Experimental food,dog,Other,10500503,105005,epicatechin gallate,(-)-Epicatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1462,259,Experimental food,dog,Other,10500603,105006,epigallocatechin 3-gallate,(-)-Epigallocatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1464,260,Experimental food,dog,Other,10500603,105006,epigallocatechin gallate,(-)-Epigallocatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
815,157,Experimental food,dog,Other,10600103,106001,naringenin,Naringenin,Aglycone,Flavanones,78,SPE,plasma,None,no,TRUE,FALSE,
814,157,Experimental food,dog,Other,10600903,106009,naringin,Naringin,Glycoside,Flavanones,78,SPE,plasma,None,no,TRUE,FALSE,
1852,320,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1914,319,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1915,319,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1991,334,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1992,334,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2000,335,Food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2154,372,Food,human,Human,10100803,101008,cyanidin 3-O-galactose,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2211,853,Experimental food,human,Human,10100803,101008,cyanidin 3-O-galactose,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
300,97,Food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,NS,urine,None,no,TRUE,FALSE,% excretion of total anthocyanins
320,106,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,Day 1 data only
321,106,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,Day 1 data only
1845,300,Experimental food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1846,300,Experimental food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1851,320,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1866,307,Experimental food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1873,309,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1880,311,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1881,311,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1984,332,Experimental food,human,Human,10100903,101009,cyanidin-3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1997,335,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,TRUE,
2040,341,Food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2041,342,Food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2042,343,Food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2051,344,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2052,344,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2070,349,Experimental food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2084,352,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2132,352,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2155,372,Food,human,Human,10100903,101009,cyanidin 3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2164,373,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,LLE,urine,None,no,TRUE,FALSE,
2165,373,Food,human,Human,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2208,853,Experimental food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
324,106,Experimental food,human,Human,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,Day 1 data only
325,106,Experimental food,human,Human,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,Day 1 data only
1867,307,Experimental food,human,Human,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2044,342,Food,human,Human,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2045,343,Food,human,Human,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2072,349,Experimental food,human,Human,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2166,373,Food,human,Human,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,LLE,urine,None,no,TRUE,FALSE,
2167,373,Food,human,Human,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
298,97,Food,human,Human,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,NS,urine,None,no,TRUE,FALSE,% excretion of total anthocyanins
1868,307,Experimental food,human,Human,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2048,341,Food,human,Human,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
305,98,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
306,98,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,TRUE,
1848,301,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1849,302,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1850,303,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1871,308,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1894,313,Food,human,Human,10101203,101012,pelargonidin 3-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1895,314,Food,human,Human,10101203,101012,pelargonidin 3-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1896,315,Food,human,Human,10101203,101012,pelargonidin 3-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1897,316,Food,human,Human,10101203,101012,pelargonidin 3-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2059,346,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,TRUE,FALSE,
2060,347,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,TRUE,FALSE,
2061,346,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2062,347,Food,human,Human,10101203,101012,pelargonidin 3-O-glucoside,Pelargonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1882,311,Experimental food,human,Human,10101603,101016,cyanidin 3-(6''-malonyl)-glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1883,311,Experimental food,human,Human,10101603,101016,cyanidin 3-(6''-malonyl)-glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2086,352,Food,human,Human,10101603,101016,cyanidin-3-(6''-malonyl)glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1875,309,Food,human,Human,10101703,101017,peonidin,Peonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1864,320,Experimental food,human,Human,10101803,101018,peonidin 3-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1876,309,Food,human,Human,10101803,101018,peonidin 3-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1976,332,Experimental food,human,Human,10101803,101018,peonidin-3-O-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1977,332,Experimental food,human,Human,10101803,101018,peonidin-3-O-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2158,372,Food,human,Human,10101803,101018,peonidin 3-glucose,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2209,853,Experimental food,human,Human,10101803,101018,peonidin 3-O-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1870,308,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1890,313,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1891,314,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1892,315,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1893,316,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2057,346,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,NA,urine,None,no,TRUE,FALSE,
2058,347,Food,human,Human,10102103,101021,pelargonidin,Pelargonidin,Aglycone,Anthocyanins,78,NA,urine,None,no,TRUE,FALSE,
1872,309,Food,human,Human,10102203,101022,cyanidin,Cyanidin,Aglycone,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
299,97,Food,human,Human,10102403,101024,"cyanidin 3-O-(2""-O-glucosyl)rutinoside",Cyanidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,NS,urine,None,no,TRUE,FALSE,% excretion of total anthocyanins
1869,307,Experimental food,human,Human,10102403,101024,cyanidin 3-O-2G-glucosyl rutinoside,Cyanidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2047,341,Food,human,Human,10102403,101024,cyanidin 3-O-2G-glucosyl rutinoside,Cyanidin 3-O-glucosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1854,320,Experimental food,human,Human,10103003,101030,delphinidin 3-galactoside,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2030,343,Food,human,Human,10103003,101030,delphinidin 3-O-galactoside,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2212,853,Experimental food,human,Human,10103003,101030,delphinidin 3-O-galactose,Delphinidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1855,320,Experimental food,human,Human,10103103,101031,delphinidin 3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1884,311,Experimental food,human,Human,10103103,101031,delphinidin 3-O-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1885,311,Experimental food,human,Human,10103103,101031,delphinidin 3-O-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1980,332,Experimental food,human,Human,10103103,101031,delphinidin-3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1981,332,Experimental food,human,Human,10103103,101031,delphinidin-3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2031,342,Food,human,Human,10103103,101031,delphinidin-3-O-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2032,343,Food,human,Human,10103103,101031,delphinidin-3-O-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2160,373,Food,human,Human,10103103,101031,delphinidin 3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,LLE,urine,None,no,TRUE,FALSE,
2161,373,Food,human,Human,10103103,101031,delphinidin 3-glucoside,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2213,853,Experimental food,human,Human,10103103,101031,delphinidin 3-O-glucose,Delphinidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1856,320,Experimental food,human,Human,10103203,101032,delphinidin 3-arabinoside,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2033,343,Food,human,Human,10103203,101032,delphinidin 3-O-arabinoside,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2214,853,Experimental food,human,Human,10103203,101032,delphinidin 3-O-arabinose,Delphinidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1860,320,Experimental food,human,Human,10103403,101034,petunidin 3-galactoside,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1863,320,Experimental food,human,Human,10103403,101034,peonidin 3-galactoside,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2037,343,Food,human,Human,10103403,101034,petunidin 3-O-galactoside,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2216,853,Experimental food,human,Human,10103403,101034,petunidin 3-O-galactose,Petunidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1853,320,Experimental food,human,Human,10103503,101035,cyanidin 3-arabinoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1993,334,Experimental food,human,Human,10103503,101035,cyanidin 3-arabinoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1994,334,Experimental food,human,Human,10103503,101035,cyanidin 3-arabinoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1998,335,Food,human,Human,10103503,101035,cyanidin 3-arabinoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,TRUE,
2043,343,Food,human,Human,10103503,101035,cyanidin 3-O-arabinoside,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2156,372,Food,human,Human,10103503,101035,cyanidin 3-O-arabinose,Cyanidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1861,320,Experimental food,human,Human,10103603,101036,petunidin 3-glucoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1982,332,Experimental food,human,Human,10103603,101036,petunidin-3-glucoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1983,332,Experimental food,human,Human,10103603,101036,petunidin-3-glucoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2038,343,Food,human,Human,10103603,101036,petunidin 3-O-glucoside,Petunidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1995,334,Experimental food,human,Human,10103703,101037,peonidin 3-galactoside,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1996,334,Experimental food,human,Human,10103703,101037,peonidin 3-galactoside,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2001,335,Food,human,Human,10103703,101037,peonidin 3-galactoside,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2157,372,Food,human,Human,10103703,101037,peonidin 3-galactose,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2215,853,Experimental food,human,Human,10103703,101037,peonidin 3-O-galactose,Peonidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1862,320,Experimental food,human,Human,10103803,101038,petunidin 3-arabinoside,Petunidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2039,343,Food,human,Human,10103803,101038,petunidin 3-O-arabinoside,Petunidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2217,853,Experimental food,human,Human,10103803,101038,petunidin 3-O-arabinose,Petunidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1858,320,Experimental food,human,Human,10103903,101039,malvidin 3-glucoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1978,332,Experimental food,human,Human,10103903,101039,malvidin-3-O-glucoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1979,332,Experimental food,human,Human,10103903,101039,malvidin-3-O-glucoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2035,343,Food,human,Human,10103903,101039,malvidin 3-O-glucoside,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2218,853,Experimental food,human,Human,10103903,101039,malvidin 3-O-glucose,Malvidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1859,320,Experimental food,human,Human,10104003,101040,malvidin 3-arabinoside,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2036,343,Food,human,Human,10104003,101040,malvidin 3-O-arabinoside,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2219,853,Experimental food,human,Human,10104003,101040,malvidin 3-O-arabinose,Malvidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2046,342,Food,human,Human,10105203,101052,delphinidin 3-O-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2162,373,Food,human,Human,10105203,101052,delphinidin 3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,LLE,urine,None,no,TRUE,FALSE,
2163,373,Food,human,Human,10105203,101052,delphinidin 3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
322,106,Experimental food,human,Human,10105303,101053,cyanidin 3-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,Day 1 data only
323,106,Experimental food,human,Human,10105303,101053,cyanidin 3-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,Day 1 data only
1847,300,Experimental food,human,Human,10105303,101053,cyanidin 3-O-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2053,344,Experimental food,human,Human,10105303,101053,cyanidin 3-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2054,344,Experimental food,human,Human,10105303,101053,cyanidin 3-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2071,349,Experimental food,human,Human,10105303,101053,cyanidin 3-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2207,853,Experimental food,human,Human,10105303,101053,cyanidin 3-O-sambubioside,Cyanidin 3-O-sambubioside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1874,309,Food,human,Human,10105603,101056,cyanidin 3-xyloside,Cyanidin 3-O-xyloside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1857,320,Experimental food,human,Human,10105703,101057,malvidin 3-galactoside,Malvidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
2034,343,Food,human,Human,10105703,101057,malvidin 3-O-galactoside,Malvidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1865,320,Experimental food,human,Human,10105803,101058,peonidin 3-arabinoside,Peonidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1999,335,Food,human,Human,10105803,101058,peonidin 3-arabinoside,Peonidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,TRUE,
2159,372,Food,human,Human,10105803,101058,peonidin 3-arabinose,Peonidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
326,106,Experimental food,human,Human,10106503,101065,cyanidin 3-xylosylrutinoside,Cyanidin 3-O-xylosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,Day 1 data only
327,106,Experimental food,human,Human,10106503,101065,cyanidin 3-xylosylrutinoside,Cyanidin 3-O-xylosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,Day 1 data only
2073,349,Experimental food,human,Human,10106503,101065,cyanidin 3-xylosylrutinoside,Cyanidin 3-O-xylosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1918,304,Food,human,Human,10108203,101082,"cyanidin 3,5-diglucoside","Cyanidin 3,5-O-diglucoside",Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
1919,305,Food,human,Human,10108203,101082,"cyanidin 3,5-diglucoside","Cyanidin 3,5-O-diglucoside",Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
1920,306,Food,human,Human,10108203,101082,"cyanidin 3,5-diglucoside","Cyanidin 3,5-O-diglucoside",Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
1961,326,Food,human,Human,10109603,101096,cyanidin 3-(2??-xylose-6??- glucose-galactoside),"Cyanidin 3-O-(2""-xylosyl-6""-glucosyl-galactoside)",Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
