bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
1966,330,Experimental food,rat,Rat,10100903,101009,cyanidin-3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1967,329,Experimental food,rat,Rat,10100903,101009,cyanidin-3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,TRUE,FALSE,
1968,330,Experimental food,rat,Rat,10100903,101009,cyanidin-3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1969,331,Experimental food,rat,Rat,10100903,101009,cyanidin-3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1970,331,Experimental food,rat,Rat,10100903,101009,cyanidin-3-O-glucose,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,FALSE,FALSE,
1985,333,Pure compound,rat,Rat,10100903,101009,cyanidin 3-O-?-D-glucopyranoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1986,333,Pure compound,rat,Rat,10100903,101009,cyanidin 3-O-?-D-glucopyranoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2008,338,Food,rat,Rat,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2009,339,Food,rat,Rat,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2010,340,Food,rat,Rat,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2064,348,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,NA,urine,None,no,FALSE,FALSE,
2065,348,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2074,350,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
2075,350,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2082,351,Pure compound,rat,Rat,10100903,101009,cyanidin 3-O-?-D-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2091,353,Food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2092,354,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2144,370,Experimental food,rat,Rat,10100903,101009,cyanidin 3-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
264,92,Food,rat,Rat,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
2024,338,Food,rat,Rat,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2025,339,Food,rat,Rat,10101003,101010,cyanidin 3-O-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2093,353,Food,rat,Rat,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2094,354,Experimental food,rat,Rat,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2145,370,Experimental food,rat,Rat,10101003,101010,cyanidin 3-rutinoside,Cyanidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
265,92,Food,rat,Rat,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
267,92,Food,rat,Rat,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
2026,338,Food,rat,Rat,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2027,339,Food,rat,Rat,10101103,101011,cyanidin 3-O-sophoroside,Cyanidin 3-O-sophoroside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1879,310,Experimental food,rat,Rat,10101603,101016,cyanidin 3-(6''-malonyl)-glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2076,350,Experimental food,rat,Rat,10101603,101016,cyanidin-3(6-malonyl)glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
2077,350,Experimental food,rat,Rat,10101603,101016,cyanidin-3(6-malonyl)glucoside,Cyanidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2066,348,Experimental food,rat,Rat,10101703,101017,peonidin,Peonidin,Aglycone,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
272,92,Food,rat,Rat,10101803,101018,peonidin-3-O-glucoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
1910,318,Experimental food,rat,Rat,10101803,101018,peonidin 3-O-?-D-glucopiranoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1956,325,Food,rat,Rat,10101803,101018,peonidin-3-O-glucose,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1974,331,Experimental food,rat,Rat,10101803,101018,peonidin-3-O-glucose,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1975,331,Experimental food,rat,Rat,10101803,101018,peonidin-3-O-glucose,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1989,333,Pure compound,rat,Rat,10101803,101018,3'-O-methyl cyanidin 3-O-?-D-glucopyranoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
1990,333,Pure compound,rat,Rat,10101803,101018,3'-O-methyl cyanidin 3-O-?-D-glucopyranoside,Peonidin 3-O-glucoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
