cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,hydrolysis
10910303,cis-4-Hydroxyequol,Flavonoids,5,Isoflavonoids,258,258,Aglycone,yes
10905103,Dihydrobiochanin A,Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10905403,Dihydroformononetin,Flavonoids,5,Isoflavonoids,270,270,Aglycone,yes
10905603,Dihydroglycitein,Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10603403,Homoeriodictyol,Flavonoids,5,Flavanones,302,302,Aglycone,yes
10910503,Irilone,Flavonoids,5,Isoflavonoids,298,298,Aglycone,yes
10602103,Isosakuranetin,Flavonoids,5,Flavanones,286,286,Aglycone,yes
10907103,Orobol,Flavonoids,5,Isoflavonoids,286,286,Aglycone,yes
10300103,Phloretin,Flavonoids,5,Dihydrochalcones,274,274,Aglycone,yes
10907203,Prunetin,Flavonoids,5,Isoflavonoids,284,284,Aglycone,yes
10907303,Pseudobaptigenin,Flavonoids,5,Isoflavonoids,282,282,Aglycone,yes
10501203,Theaflavin,Flavonoids,5,Flavanols,564,564,Aglycone,yes
30210003,"1,5-Dicaffeoylquinic acid",Phenolic acids,4,Hydroxycinnamic acids,516,180,Aglycone,no
30228603,"1,5-Diferuloylquinic acid",Phenolic acids,4,Hydroxycinnamic acids,544,194,Aglycone,no
30228703,1-Caffeoyl-5-feruloylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,530,180,Aglycone,no
30228803,1-Feruloyl-5-caffeoylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,530,194,Aglycone,no
30103703,"2,3-Dihydroxybenzoic acid",Phenolic acids,4,Hydroxybenzoic acids,154,154,Aglycone,no
30103803,"2,4-Dihydroxybenzoic acid",Phenolic acids,4,Hydroxybenzoic acids,154,154,Aglycone,no
30103503,2-Hydroxybenzoic acid,Phenolic acids,4,Hydroxybenzoic acids,138,138,Aglycone,no
30112803,2-Hydroxyhippuric acid,Phenolic acids,4,Hydroxybenzoic acids,195,195,Aglycone,no
30506503,"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid",Phenolic acids,4,Hydroxyphenylpropanoic acids,212,212,Aglycone,no
30209303,"3,4-Dicaffeoylquinic acid",Phenolic acids,4,Hydroxycinnamic acids,516,180,Aglycone,no
30304803,"3,4-Dihydroxyphenylacetic acid",Phenolic acids,4,Hydroxyphenylacetic acids,168,168,Aglycone,no
30508103,"3,4-Dihydroxyphenyllactic acid methyl ester",Phenolic acids,4,Hydroxyphenylpropanoic acids,212,212,Aglycone,no
30204203,"3,5-Dicaffeoylquinic acid",Phenolic acids,4,Hydroxycinnamic acids,516,180,Aglycone,no
30202503,3-Caffeoylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,354,180,Aglycone,no
30203803,3-Feruloylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,368,194,Aglycone,no
30506403,3-Hydroxy-3-(3-hydroxyphenyl)propionic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,182,182,Aglycone,no
30508403,3-Hydroxy-4-methoxyphenyllactic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,212,212,Aglycone,no
30103603,3-Hydroxybenzoic acid,Phenolic acids,4,Hydroxybenzoic acids,138,138,Aglycone,no
30112703,3-Hydroxyhippuric acid,Phenolic acids,4,Hydroxybenzoic acids,195,195,Aglycone,no
30306003,3-Hydroxyphenylacetic acid,Phenolic acids,4,Hydroxyphenylacetic acids,152,152,Aglycone,no
30506603,3-Hydroxyphenylpropionic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,166,166,Aglycone,no
30507903,3-Methoxy-4-hydroxyphenyllactic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,212,212,Aglycone,no
30219603,3-O-Methylrosmarinic acid,Phenolic acids,4,Hydroxycinnamic acids,374,194,Aglycone,no
30210103,"4,5-Dicaffeoylquinic acid",Phenolic acids,4,Hydroxycinnamic acids,516,180,Aglycone,no
30203703,4-Feruloylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,368,194,Aglycone,no
30600303,"4-Hydroxy-(3',4'-dihydroxyphenyl)valeric acid",Phenolic acids,4,Hydroxyphenylpentanoic acids,226,226,Aglycone,no
30100903,4-Hydroxybenzoic acid,Phenolic acids,4,Hydroxybenzoic acids,138,138,Aglycone,no
30112603,4-Hydroxyhippuric acid,Phenolic acids,4,Hydroxybenzoic acids,195,195,Aglycone,no
30305003,4-Hydroxyphenylacetic acid,Phenolic acids,4,Hydroxyphenylacetic acids,152,152,Aglycone,no
30600703,"5-(3',4',5'-trihydroxyphenyl)-?-valerolactone",Phenolic acids,4,Hydroxyphenylpentanoic acids,224,224,Aglycone,no
30600503,"5-(3',4',-dihydroxyphenyl)-?-valerolactone",Phenolic acids,4,Hydroxyphenylpentanoic acids,208,208,Aglycone,no
30600803,"5-(3',5'-dihydroxyphenyl)-?-valerolactone",Phenolic acids,4,Hydroxyphenylpentanoic acids,208,208,Aglycone,no
30600103,5-(3'-Methoxy-4'-hydroxyphenyl)-?-valerolactone,Phenolic acids,4,Hydroxyphenylpentanoic acids,222,222,Aglycone,no
30203303,5-Caffeoylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,354,180,Aglycone,no
30203603,5-Feruloylquinic acid,Phenolic acids,4,Hydroxycinnamic acids,368,194,Aglycone,no
30103403,Benzoic acid,Phenolic acids,4,Hydroxybenzoic acids,122,122,Aglycone,no
30200503,Caffeic acid,Phenolic acids,4,Hydroxycinnamic acids,180,180,Aglycone,no
30507703,Danshensu,Phenolic acids,4,Hydroxyphenylpropanoic acids,198,198,Aglycone,no
30506303,Dihydrocaffeic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,182,182,Aglycone,no
30507203,Dihydroferulic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,196,196,Aglycone,no
30507603,Dihydroferuloylglycine,Phenolic acids,4,Hydroxyphenylpropanoic acids,253,253,Aglycone,no
30506003,Dihydro-p-coumaric acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,166,166,Aglycone,no
30507403,Dihydrosinapic acid,Phenolic acids,4,Hydroxyphenylpropanoic acids,240,240,Aglycone,no
30100803,Ellagic acid,Phenolic acids,4,Hydroxybenzoic acids,302,302,Aglycone,no
30200803,Ferulic acid,Phenolic acids,4,Hydroxycinnamic acids,194,194,Aglycone,no
30225203,Feruloylglycine,Phenolic acids,4,Hydroxycinnamic acids,251,251,Aglycone,no
30112003,Gallagic acid,Phenolic acids,4,Hydroxybenzoic acids,602,602,Aglycone,no
30100303,Gallic acid,Phenolic acids,4,Hydroxybenzoic acids,170,170,Aglycone,no
30108503,Gallic acid ethyl ester,Phenolic acids,4,Hydroxybenzoic acids,198,170,Aglycone,no
30100703,Gentisic acid,Phenolic acids,4,Hydroxybenzoic acids,154,154,Aglycone,no
30112903,Hippuric acid,Phenolic acids,4,Hydroxybenzoic acids,179,179,Aglycone,no
30305203,Homovanillic acid,Phenolic acids,4,Hydroxyphenylacetic acids,182,182,Aglycone,no
30508203,Hydroxydanshensu,Phenolic acids,4,Hydroxyphenylpropanoic acids,214,214,Aglycone,no
30204303,Isoferulic acid,Phenolic acids,4,Hydroxycinnamic acids,194,194,Aglycone,no
30201303,m-Coumaric acid,Phenolic acids,4,Hydroxycinnamic acids,164,164,Aglycone,no
30200103,p-Coumaric acid,Phenolic acids,4,Hydroxycinnamic acids,164,164,Aglycone,no
30306503,Phenacetylglycine,Phenolic acids,4,Hydroxyphenylacetic acids,193,193,Aglycone,no
30306603,Phenylacetic acid,Phenolic acids,4,Hydroxyphenylacetic acids,152,152,Aglycone,no
30100203,Protocatechuic acid,Phenolic acids,4,Hydroxybenzoic acids,154,154,Aglycone,no
30112503,Punicalin,Phenolic acids,4,Hydroxybenzoic acids,782,782,Aglycone,no
30201103,Rosmarinic acid,Phenolic acids,4,Hydroxycinnamic acids,360,180,Aglycone,no
30202203,Sinapic acid,Phenolic acids,4,Hydroxycinnamic acids,224,224,Aglycone,no
30102003,Syringic acid,Phenolic acids,4,Hydroxybenzoic acids,198,198,Aglycone,no
30100403,Vanillic acid,Phenolic acids,4,Hydroxybenzoic acids,168,168,Aglycone,no
30113003,Paeoniflorin,Phenolic acids,4,Hydroxybenzoic acids,480,,Glycoside,no
30111903,Punicalagin,Phenolic acids,4,Hydroxybenzoic acids,1084,302,Glycoside,no
