method.full,method,analysis.type,food.group.full,food.group,food.subgroup,food,food.class,process.full,process,top.process,process.type,process.grouped,compound.class,compound.subclass,compound,conjugation,cicon,unit,mean.rf,min.rf,max.rf,sdev.rf,nraw.rf,rf.id
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,ester,302025,mg/100 g fresh weight,1.371736345,0.257162809,3.170829201,1.098879565,5,1225
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Shoot vegetables,"Globe artichoke, heads, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,"4,5-Dicaffeoylquinic acid",ester,302101,mg/100 g fresh weight,6.856170406,6.856170406,6.856170406,,1,1197
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Shoot vegetables,"Globe artichoke, heads, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,ester,302027,mg/100 g fresh weight,4.277596188,4.277596188,4.277596188,,1,1200
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,ester,302027,mg/100 g fresh weight,0.794293302,0.477922058,1.189115715,0.237945784,8,1228
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Black], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,free phenol,301009,mg/100 g fresh weight,0.551393118,0.551393118,0.551393118,,1,599
1 - Chromatography,Chrom.,Defined,Seeds,Seeds,Pulses - Beans - Common bean,"Common bean [Others], whole, raw",301,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,free phenol,301009,mg/100 g fresh weight,0.268042075,0.268042075,0.268042075,,1,673
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,"5,3',4'-Trihydroxy-3-methoxy-6:7-methylenedioxyflavone 4'-O-glucuronide",glycoside,108096,mg/100 g fresh weight,0.251470602,0.251470602,0.251470602,,1,1036
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Leaf vegetables,"Spinach, raw",201,Boiled,Boiled,yes,Domestic cooking,Boiled,Flavonoids,Flavonols,"5,4'-Dihydroxy-3,3'-dimethoxy-6:7-methylenedioxyflavone 4'-O-glucuronide",glycoside,108099,mg/100 g fresh weight,0.265441175,0.265441175,0.265441175,,1,1040
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,0.525585395,0.25321034,1.038208873,0.239713355,10,1151
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Shoot vegetables,"Globe artichoke, heads, raw",202,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,1.497669926,1.497669926,1.497669926,,1,1203
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,0.823115814,0.581604052,1.142902565,0.178573302,8,1231
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, raw",101,Boiled,Boiled,yes,Domestic cooking,Boiled,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,0.676641397,0.58839407,0.817999935,0.078280336,10,1245
