dose.cicon,metab.cicon
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,100100203
10600103,10600103
10600103,10600103
10600103,10600103
10600103,10600103
10600103,10600103
10500203,100100203
10500203,10511203
10500203,10511203
10600103,10603603
10600103,10603703
10600103,30506003
10600703,10600203
10600703,10600203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10600703,10600303
10500203,10511203
10500203,10511203
10600703,30200503
10600703,30200503
10500203,30109703
10500203,30508303
10600803,10603003
10600803,10603003
10600803,10603103
10600803,10603103
10500203,100010003
10500203,90203003
10500203,10512103
10500203,10512103
10600903,10600903
10500203,10512103
10500203,30109803
10500203,30600503
