CLASS,SUBCLASS,FAMILY,DTAGA,CICON,CICON2
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucoside,10100901,101009
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucosyl-rutinoside,10102401,101024
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-rutinoside,10101001,101010
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-sambubioside,10105301,101053
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-sophoroside,10101101,101011
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-xylosyl-rutinoside,10106501,101065
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-glucoside,10103101,101031
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-rutinoside,10105201,101052
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-glucoside,10803501,108035
Flavonoids,Flavonols,Flavonols,Myricetin 3-O-glucoside,10802601,108026
Flavonoids,Flavonols,Flavonols,Myricetin 3-O-rutinoside,10802001,108020
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucoside,10800401,108004
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeoyl glucose,30204401,302044
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid 4-O-glucoside,30204501,302045
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-acetyl-galactoside),10100601,101006
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-acetyl-glucoside),10104501,101045
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-dioxalyl-glucoside),10108701,101087
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-malonyl-glucoside),10101601,101016
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-p-coumaroyl-glucoside),10107101,101071
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-arabinoside,10103501,101035
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-galactoside,10100801,101008
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucoside,10100901,101009
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-rutinoside,10101001,101010
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-xyloside,10105601,101056
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-(6''-acetyl-galactoside),10100501,101005
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-(6''-acetyl-glucoside),10104201,101042
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-(6''-p-coumaroyl-glucoside),10106701,101067
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-arabinoside,10103201,101032
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-galactoside,10103001,101030
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-glucoside,10103101,101031
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-(6''-acetyl-galactoside),10104601,101046
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-(6''-acetyl-glucoside),10104901,101049
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-(6''-p-coumaroyl-glucoside),10100201,101002
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-arabinoside,10104001,101040
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-galactoside,10105701,101057
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-glucoside,10103901,101039
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-(6''-acetyl-galactoside),10104401,101044
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-(6''-acetyl-glucoside),10105001,101050
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-arabinoside,10105801,101058
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-galactoside,10103701,101037
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-glucoside,10101801,101018
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-(6''-acetyl-galactoside),10104301,101043
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-(6''-acetyl-glucoside),10104701,101047
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-(6''-p-coumaroyl-glucoside),10106101,101061
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-arabinoside,10103801,101038
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-galactoside,10103401,101034
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-glucoside,10103601,101036
Flavonoids,Flavanols,Catechins,(-)-Epicatechin,10500201,105002
Flavonoids,Flavanols,Catechins,(-)-Epicatechin 3-O-gallate,10500501,105005
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin,10500401,105004
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin 3-O-gallate,10500601,105006
Flavonoids,Flavanols,Catechins,(+)-Catechin,10500101,105001
Flavonoids,Flavanols,Catechins,(+)-Gallocatechin,10500301,105003
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-glucoside,10803501,108035
Flavonoids,Flavonols,Flavonols,Myricetin 3-O-arabinoside,10806301,108063
Flavonoids,Flavonols,Flavonols,Myricetin 3-O-rhamnoside,10805601,108056
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-acetyl-rhamnoside,10803101,108031
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-arabinoside,10800901,108009
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-galactoside,10800301,108003
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucoside,10800401,108004
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucosyl-xyloside,10803001,108030
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rhamnoside,10800601,108006
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-xyloside,10800501,108005
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-xylosyl-glucuronide,10801001,108010
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid 4-O-glucoside,30104001,301040
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,5-O-Galloylquinic acid,30102101,301021
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid 4-O-glucoside,30104201,301042
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Galloyl glucose,30111401,301114
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid 4-O-glucoside,30104101,301041
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,30202501,302025
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-p-Coumaroylquinic acid,30203401,302034
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,30202701,302027
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-p-Coumaroylquinic acid,30200301,302003
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-p-Coumaroylquinic acid,30200201,302002
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid 4-O-glucoside,30204601,302046
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeoyl glucose,30204401,302044
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid 4-O-glucoside,30204501,302045
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaroyl glucose,30202301,302023
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,3-Feruloylquinic acid,30203801,302038
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,4-Feruloylquinic acid,30203701,302037
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,5-Feruloylquinic acid,30203601,302036
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid 4-O-glucoside,30204701,302047
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Feruloyl glucose,30200701,302007
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid 4-O-glucoside,30104001,301040
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,5-O-Galloylquinic acid,30102101,301021
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid 4-O-glucoside,30104201,301042
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Galloyl glucose,30111401,301114
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid 4-O-glucoside,30104101,301041
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,30202501,302025
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-p-Coumaroylquinic acid,30203401,302034
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,30202701,302027
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-p-Coumaroylquinic acid,30200301,302003
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-p-Coumaroylquinic acid,30200201,302002
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid 4-O-glucoside,30204601,302046
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeoyl glucose,30204401,302044
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid 4-O-glucoside,30204501,302045
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaroyl glucose,30202301,302023
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,3-Feruloylquinic acid,30203801,302038
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,4-Feruloylquinic acid,30203701,302037
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,5-Feruloylquinic acid,30203601,302036
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid 4-O-glucoside,30204701,302047
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Feruloyl glucose,30200701,302007
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-arabinoside,10103501,101035
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-galactoside,10100801,101008
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucoside,10100901,101009
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-xyloside,10105601,101056
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-arabinoside,10103201,101032
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-galactoside,10103001,101030
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-glucoside,10103101,101031
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-arabinoside,10104001,101040
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-galactoside,10105701,101057
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-glucoside,10103901,101039
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-arabinoside,10105801,101058
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-galactoside,10103701,101037
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-glucoside,10101801,101018
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-arabinoside,10103801,101038
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-galactoside,10103401,101034
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-glucoside,10103601,101036
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-glucoside,10803501,108035
Flavonoids,Flavonols,Flavonols,Morin,10802301,108023
Flavonoids,Flavonols,Flavonols,Myricetin 3-O-arabinoside,10806301,108063
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-arabinoside,10800901,108009
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-galactoside,10800301,108003
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucoside,10800401,108004
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rhamnoside,10800601,108006
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Cinnamic acid,30218001,302180
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Stilbenes,Stilbenes,Stilbenes,Resveratrol,60101701,601017
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavones,Methoxyflavones,Tangeretin,10701201,107012
Flavonoids,Flavonols,Flavonols,Galangin,10803301,108033
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Flavonoids,Flavonols,Methoxyflavonols,Rhamnetin,10804401,108044
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-acetyl-galactoside),10100601,101006
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-(6''-acetyl-glucoside),10104501,101045
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-arabinoside,10103501,101035
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-galactoside,10100801,101008
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucoside,10100901,101009
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-(6''-acetyl-galactoside),10100501,101005
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-(6''-acetyl-glucoside),10104201,101042
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-arabinoside,10103201,101032
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-galactoside,10103001,101030
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-glucoside,10103101,101031
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-(6''-acetyl-galactoside),10104601,101046
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-(6''-acetyl-glucoside),10104901,101049
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-arabinoside,10104001,101040
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-galactoside,10105701,101057
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-glucoside,10103901,101039
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-(6''-acetyl-galactoside),10104401,101044
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-(6''-acetyl-glucoside),10105001,101050
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-galactoside,10103701,101037
Flavonoids,Anthocyanins,Anthocyanins,Peonidin 3-O-glucoside,10101801,101018
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-(6''-acetyl-galactoside),10104301,101043
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-(6''-acetyl-glucoside),10104701,101047
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-arabinoside,10103801,101038
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-galactoside,10103401,101034
Flavonoids,Anthocyanins,Anthocyanins,Petunidin 3-O-glucoside,10103601,101036
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin,10102201,101022
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucoside,10100901,101009
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-glucosyl-rutinoside,10102401,101024
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-rutinoside,10101001,101010
Flavonoids,Anthocyanins,Anthocyanins,Cyanidin 3-O-sophoroside,10101101,101011
Flavonoids,Anthocyanins,Anthocyanins,Delphinidin 3-O-glucoside,10103101,101031
Flavonoids,Anthocyanins,Anthocyanins,Malvidin 3-O-glucoside,10103901,101039
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-(6''-malonyl-glucoside),10105401,101054
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-(6''-succinyl-glucoside),10102801,101028
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-glucoside,10101201,101012
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-glucosyl-rutinoside,10102601,101026
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-rutinoside,10102001,101020
Flavonoids,Anthocyanins,Anthocyanins,Pelargonidin 3-O-sophoroside,10102501,101025
Flavonoids,Flavanols,Catechins,(-)-Epicatechin,10500201,105002
Flavonoids,Flavanols,Catechins,(-)-Epicatechin 3-O-gallate,10500501,105005
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin,10500401,105004
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin 3-O-gallate,10500601,105006
Flavonoids,Flavanols,Catechins,(+)-Catechin,10500101,105001
Flavonoids,Flavanols,Catechins,(+)-Gallocatechin,10500301,105003
Flavonoids,Flavanols,Proanthocyanidin dimers,Procyanidin dimer B2,10503401,105034
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Kaempferol 3-O-glucoside,10803501,108035
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucoside,10800401,108004
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-glucuronide,10806101,108061
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rhamnoside,10800601,108006
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin 3-O-glucuronide,10806201,108062
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Benzoic acid,30103401,301034
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100201,301002
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid acetyl-arabinoside,30102401,301024
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid acetyl-xyloside,30102301,301023
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid arabinoside,30102201,301022
Phenolic acids,Hydroxybenzoic acids,Ellagitannins,Lambertianin C,30111501,301115
Phenolic acids,Hydroxybenzoic acids,Ellagitannins,Sanguiin H-6,30111601,301116
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,30202501,302025
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,30202701,302027
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Cinnamic acid,30218001,302180
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,m-Coumaric acid,30201301,302013
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,o-Coumaric acid,30201201,302012
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid 4-O-glucoside,30204501,302045
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100201,301002
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acid dimers,Ellagic acid,30100801,301008
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Cinnamic acid,30218001,302180
