"CLASS","SUBCLASS","FAMILY","DTAGA","CICON"
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","3,4-Dihydroxyphenylacetic acid",30304801
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","4-Hydroxyphenylacetic acid",30305001
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Homovanillic acid",30305201
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Homoveratric acid",30305501
"Phenolic acids","Hydroxyphenylpropanoic acids","Hydroxyphenylpropanoic acids","Dihydro-p-coumaric acid",30506001
"Other polyphenols","Hydroxybenzaldehydes","Methoxybenzaldehydes","Vanillin",90801401
"Other polyphenols","Tyrosols","Tyrosols","3,4-DHPEA-EA",90182201
"Other polyphenols","Tyrosols","Tyrosols","Demethyloleuropein",90181101
"Other polyphenols","Tyrosols","Tyrosols","Hydroxytyrosol",90180201
"Other polyphenols","Tyrosols","Tyrosols","Oleuropein",90181001
"Other polyphenols","Tyrosols","Tyrosols","Oleuropein-aglycone",90183301
"Other polyphenols","Tyrosols","Tyrosols","Tyrosol",90180101
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100901
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102001
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100401
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218001
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","m-Coumaric acid",30201301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","o-Coumaric acid",30201201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200801
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202201
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","3,4-Dihydroxyphenylacetic acid",30304801
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","4-Hydroxyphenylacetic acid",30305001
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Homovanillic acid",30305201
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Methoxyphenylacetic acid",30305901
"Phenolic acids","Hydroxyphenylpropanoic acids","Hydroxyphenylpropanoic acids","Dihydrocaffeic acid",30506301
"Lignans","Lignans","Lignans","Lariciresinol",70100301
"Lignans","Lignans","Lignans","Matairesinol",70100201
"Lignans","Lignans","Lignans","Pinoresinol",70100401
"Lignans","Lignans","Lignans","Secoisolariciresinol",70100101
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100901
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102001
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100401
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218001
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","m-Coumaric acid",30201301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","o-Coumaric acid",30201201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Verbascoside",30202601
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200801
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202201
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","3,4-Dihydroxyphenylacetic acid",30304801
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","4-Hydroxyphenylacetic acid",30305001
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Homovanillic acid",30305201
"Phenolic acids","Hydroxyphenylpropanoic acids","Hydroxyphenylpropanoic acids","Dihydro-p-coumaric acid",30506001
"Other polyphenols","Tyrosols","Tyrosols","3,4-DHPEA-EA",90182201
"Other polyphenols","Tyrosols","Tyrosols","Demethyloleuropein",90181101
"Other polyphenols","Tyrosols","Tyrosols","Hydroxytyrosol",90180201
"Other polyphenols","Tyrosols","Tyrosols","Oleoside 11-methylester",90182701
"Other polyphenols","Tyrosols","Tyrosols","Oleuropein",90181001
"Other polyphenols","Tyrosols","Tyrosols","Oleuropein-aglycone",90183301
"Other polyphenols","Tyrosols","Tyrosols","Tyrosol",90180101
"Other polyphenols","Other polyphenols","Other polyphenols","3,4-Dihydroxyphenylglycol",90164401
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100901
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102001
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100401
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218001
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","m-Coumaric acid",30201301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","o-Coumaric acid",30201201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200801
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202201
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","3,4-Dihydroxyphenylacetic acid",30304801
"Phenolic acids","Hydroxyphenylacetic acids","Hydroxyphenylacetic acids","4-Hydroxyphenylacetic acid",30305001
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Homovanillic acid",30305201
"Phenolic acids","Hydroxyphenylacetic acids","Methoxyphenylacetic acids","Methoxyphenylacetic acid",30305901
"Phenolic acids","Hydroxyphenylpropanoic acids","Hydroxyphenylpropanoic acids","Dihydrocaffeic acid",30506301
"Lignans","Lignans","Lignans","Lariciresinol",70100301
"Lignans","Lignans","Lignans","Matairesinol",70100201
"Lignans","Lignans","Lignans","Pinoresinol",70100401
"Lignans","Lignans","Lignans","Secoisolariciresinol",70100101
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503401
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503501
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503601
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B5",10503701
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B7",10503801
"Flavonoids","Flavanols","Proanthocyanidin dimers","Prodelphinidin dimer B3",10503901
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C1",10504001
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer EEC",10504601
"Flavonoids","Flavones","Flavones","Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside",10706401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800601
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaroyl glucose",30202301
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Feruloyl glucose",30200701
"Flavonoids","Flavanones","Flavanones","Naringenin",10600101
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503401
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503501
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503601
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B5",10503701
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B7",10503801
"Flavonoids","Flavanols","Proanthocyanidin dimers","Prodelphinidin dimer B3",10503901
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C1",10504001
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer EEC",10504601
"Flavonoids","Flavones","Flavones","Luteolin 7-O-(2-apiosyl-6-malonyl)-glucoside",10706401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800601
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaroyl glucose",30202301
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Feruloyl glucose",30200701
"Flavonoids","Flavanones","Flavanones","Naringenin",10600101
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavanones","Flavanones","Naringenin",10600101
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Flavonoids","Flavanones","Flavanones","Naringenin",10600101
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200801
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503401
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503501
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503601
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B5",10503701
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B7",10503801
"Flavonoids","Flavanols","Proanthocyanidin dimers","Prodelphinidin dimer B3",10503901
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C1",10504001
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer EEC",10504601
"Flavonoids","Flavanones","Flavanones","Naringenin 7-O-glucoside",10602201
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100901
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100301
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102001
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100401
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100801
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3-Caffeoylquinic acid",30202501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4-Caffeoylquinic acid",30202701
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218001
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","m-Coumaric acid",30201301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","o-Coumaric acid",30201201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200801
"Flavonoids","Flavanones","Flavanones","Naringenin",10600101
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100901
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102001
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100401
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100801
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218001
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","m-Coumaric acid",30201301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","o-Coumaric acid",30201201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200101
"Lignans","Lignans","Lignans","Lariciresinol",70100301
"Lignans","Lignans","Lignans","Matairesinol",70100201
"Lignans","Lignans","Lignans","Medioresinol",70100901
"Lignans","Lignans","Lignans","Pinoresinol",70100401
"Lignans","Lignans","Lignans","Secoisolariciresinol",70100101
"Lignans","Lignans","Lignans","Syringaresinol",70100501
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Lignans","Lignans","Lignans","Lariciresinol",70100301
"Lignans","Lignans","Lignans","Matairesinol",70100201
"Lignans","Lignans","Lignans","Medioresinol",70100901
"Lignans","Lignans","Lignans","Pinoresinol",70100401
"Lignans","Lignans","Lignans","Secoisolariciresinol",70100101
"Lignans","Lignans","Lignans","Syringaresinol",70100501
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503401
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503501
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503601
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B5",10503701
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B7",10503801
"Flavonoids","Flavanols","Proanthocyanidin dimers","Prodelphinidin dimer B3",10503901
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C1",10504001
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer EEC",10504601
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100301
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Chicoric acid",30206701
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100301
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100201
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203301
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200501
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Chicoric acid",30206701
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-(6''-malonyl-glucoside)",10101601
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-glucoside",10100901
"Flavonoids","Flavones","Flavones","Luteolin 7-O-glucuronide",10705201
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-(6""-malonyl-glucoside)",10808201
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucoside",10803501
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucuronide",10801601
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-rhamnoside",10808301
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside)",10808101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside",10808401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800301
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucuronide",10806101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800601
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-(6''-malonyl-glucoside)",10101601
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-glucoside",10100901
"Flavonoids","Flavones","Flavones","Luteolin 7-O-glucuronide",10705201
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-(6""-malonyl-glucoside)",10808201
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucoside",10803501
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucuronide",10801601
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-rhamnoside",10808301
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside)",10808101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside",10808401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800301
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucuronide",10806101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800601
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Flavonoids","Flavanones","Methoxyflavanones","Hesperetin",10600301
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-(6''-malonyl-glucoside)",10101601
"Flavonoids","Anthocyanins","Anthocyanins","Cyanidin 3-O-glucoside",10100901
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500201
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500501
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500401
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500601
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500101
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503301
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503401
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503501
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503601
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B5",10503701
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B7",10503801
"Flavonoids","Flavanols","Proanthocyanidin dimers","Prodelphinidin dimer B3",10503901
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C1",10504001
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer EEC",10504601
"Flavonoids","Flavones","Flavones","Apigenin",10700101
"Flavonoids","Flavones","Flavones","Luteolin",10700201
"Flavonoids","Flavones","Flavones","Luteolin 7-O-glucuronide",10705201
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800101
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-(6""-malonyl-glucoside)",10808201
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucoside",10803501
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucuronide",10801601
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-rhamnoside",10808301
"Flavonoids","Flavonols","Flavonols","Myricetin",10802201
"Flavonoids","Flavonols","Flavonols","Quercetin",10800201
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside)",10808101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-(6""-malonyl-glucoside) 7-O-glucoside",10808401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800301
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800401
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucuronide",10806101
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800601
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800701
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803401
