"CLASS","SUBCLASS","FAMILY","DTAGA","CICON"
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100203
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102003
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100403
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100803
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218003
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Sinapic acid",30202203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,4-Dicaffeoylquinic acid",30209303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,5-Dicaffeoylquinic acid",30204203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3-Caffeoylquinic acid",30202503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4,5-Dicaffeoylquinic acid",30210103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4-Caffeoylquinic acid",30202703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","3-Feruloylquinic acid",30203803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","4-Feruloylquinic acid",30203703
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","5-Feruloylquinic acid",30203603
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Other polyphenols","Alkylmethoxyphenols","Alkylmethoxyphenols","4-Ethylguaiacol",90101003
"Other polyphenols","Alkylmethoxyphenols","Alkylmethoxyphenols","4-Vinylguaiacol",90100903
"Other polyphenols","Methoxyphenols","Methoxyphenols","Guaiacol",90140603
"Other polyphenols","Other polyphenols","Other polyphenols","Catechol",90160103
"Other polyphenols","Other polyphenols","Other polyphenols","Phenol",90160803
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503303
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503403
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeoyl tartaric acid",30200903
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaroyl tartaric acid",30202803
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B1",10503303
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503403
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B3",10503503
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B4",10503603
"Flavonoids","Flavanols","Proanthocyanidin trimers","Procyanidin trimer C2",10505503
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucoside",10803503
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800403
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucuronide",10806103
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800703
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin 3-O-glucoside",10804503
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gentisic acid",30100703
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100203
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102003
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100403
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","2-S-Glutathionyl caftaric acid",30203503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeoyl tartaric acid",30200903
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaroyl tartaric acid",30202803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Feruloyl tartaric acid",30203003
"Stilbenes","Stilbenes","Stilbenes","Resveratrol",60101703
"Stilbenes","Stilbenes","Stilbenes","Resveratrol 3-O-glucoside",60101803
"Other polyphenols","Tyrosols","Tyrosols","Tyrosol",90180103
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100803
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100803
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucoside",10803503
"Flavonoids","Flavonols","Flavonols","Kaempferol 3-O-glucuronide",10801603
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800303
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800403
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucuronide",10806103
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-sophoroside",10800803
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-xylosyl-glucuronide",10801003
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100803
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800303
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800403
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3-Caffeoylquinic acid",30202503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-galactoside",10800303
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-glucoside",10800403
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rhamnoside",10800603
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800703
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin",10803403
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin 3-O-glucoside",10804503
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin 3-O-glucoside 7-O-rhamnoside",10801403
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin 3-O-rutinoside",10801503
"Flavonoids","Flavonols","Methoxyflavonols","Isorhamnetin 7-O-rhamnoside",10801703
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100903
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100203
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100403
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavanones","Flavanones","Poncirin",10601403
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800703
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxysinensetin",10812803
"Flavonoids","Flavonols","Methoxyflavonols","Kaempferide",10802403
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringenin",10600103
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavanones","Flavanones","Poncirin",10601403
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Methoxyflavones","Nobiletin",10701103
"Flavonoids","Flavones","Methoxyflavones","Sinensetin",10700903
"Flavonoids","Flavones","Methoxyflavones","Tangeretin",10701203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800703
"Flavonoids","Flavonols","Methoxyflavonols","3-Methoxysinensetin",10812803
"Flavonoids","Flavonols","Methoxyflavonols","Kaempferide",10802403
"Other polyphenols","Furanocoumarins","Furanocoumarins","Bergapten",90700103
"Other polyphenols","Other polyphenols","Other polyphenols","Phlorin",90160703
"Flavonoids","Flavanones","Flavanones","Didymin",10601603
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
"Flavonoids","Flavanones","Flavanones","Naringin",10600903
"Flavonoids","Flavanones","Flavanones","Naringin 4'-O-glucoside",10601803
"Flavonoids","Flavanones","Flavanones","Naringin 6'-malonate",10602003
"Flavonoids","Flavanones","Flavanones","Narirutin",10601003
"Flavonoids","Flavanones","Flavanones","Narirutin 4'-O-glucoside",10601703
"Flavonoids","Flavanones","Flavanones","Neoeriocitrin",10601103
"Flavonoids","Flavanones","Flavanones","Neohesperidin",10601203
"Flavonoids","Flavanones","Flavanones","Poncirin",10601403
"Flavonoids","Flavones","Flavones","Rhoifolin",10700803
"Flavonoids","Flavones","Flavones","Rhoifolin 4'-O-glucoside",10709403
"Flavonoids","Flavones","Methoxyflavones","Neodiosmin",10700703
"Flavonoids","Flavonols","Flavonols","Quercetin 3-O-rutinoside",10800703
"Flavonoids","Flavanones","Flavanones","Eriocitrin",10600703
"Flavonoids","Flavanones","Flavanones","Hesperidin",10600803
