Compound,Replicate,Experiment,Altitude,Price,Furfural ,Hexenal_2E,Isolimonene_trans,Pentyl furan_2,Carene_delta-3,Terpinene_alpha,Cymene_para,Limonene,"Cineole_1,8",Ocimene_Z-beta,Ocimene_E-beta,Terpinene_gamma,Linalool oxide_cis,Linalool oxide_trans,Terpinolene,Linalool,Maltol,Hotrienol,Fenchol_endo,Ocimene_allo,Isoborneol,Linalyl oxide_cis,Linalyl oxide_trans,lavandulol,Terpineol_alpha,Methyl salicylate ,Safranal,Iso dihydro carveol,Linalool formate,Nerol,Ocimene_E,Isobornyl formate,Car-3-en-2-one,Geraniol,Linalool acetate,Geranial,Dihydro linalool acetate,Ethyl menthone_2,Cymen-7-ol_para,Indole,Elemene_delta,Cubebene_alpha,Calacorene,Ionene_alpha,Longipinene_alpha,Copaene_alpha,Hexenyl hexanoate_3Z,Panasinsene_beta,Damascenone_E-beta,Jasmone_Z,Gurjunene_alpha,Funebrene_2-epi-beta,Cedrene_beta,Neryl acetone,Elemene_gamma,Jasmonyl acetate_Z,Caryophyllene_9-epi-E,Muurolene_gamma,Germacrene D,Ionone_E-beta,Muurolene_alpha,"Farnesene_alpha-E,E",Germacrene A,Cubebol,Calamenene_trans,Nerolidol_E,Methyl jasmonate_Z
CF3.2,2.00,2.00,1200,1.75,5.42,5.77,1.97,0.84,0.16,0.11,0.01,1.62,0.32,1.85,1.47,1.75,1.20,0.96,1.13,3.41,0.69,1.18,0.17,0.09,0.31,0.30,0.31,0.16,0.09,0.09,0.02,0.17,0.63,0.30,0.29,0.28,1.07,0.26,0.58,0.59,0.58,0.70,0.01,0.31,0.76,0.75,1.71,0.01,1.01,0.49,0.53,0.55,0.31,0.58,0.84,0.09,0.06,0.66,0.05,0.16,0.30,0.39,0.12,0.54,0.50,0.26,0.09,0.09,0.68,0.06,0.05
OHO1,1.00,1.00,1200,1.75,5.22,4.65,1.56,0.74,0.14,0.09,0.02,1.97,0.12,2.20,1.82,2.10,1.55,1.31,1.48,3.76,0.97,1.45,0.11,0.02,0.28,0.44,0.35,0.09,0.06,0.13,0.04,0.35,0.99,0.24,0.21,0.49,1.42,0.17,0.48,0.44,0.49,0.61,0.02,0.14,0.56,0.58,1.57,0.02,1.04,0.44,0.32,0.45,0.48,0.51,0.59,0.02,0.05,1.01,0.06,0.06,0.11,0.16,0.11,0.29,0.27,0.12,0.02,0.05,0.52,0.84,0.02
OHO2,2.00,1.00,1200,1.75,5.17,4.60,1.54,0.73,0.14,0.09,0.02,1.95,0.12,2.17,1.80,2.08,1.53,1.29,1.47,3.72,0.96,1.44,0.11,0.02,0.28,0.44,0.34,0.09,0.06,0.13,0.04,0.34,0.98,0.24,0.21,0.48,1.40,0.17,0.48,0.44,0.48,0.60,0.02,0.14,0.55,0.58,1.56,0.02,1.03,0.44,0.32,0.45,0.48,0.50,0.58,0.02,0.05,1.00,0.06,0.06,0.11,0.16,0.11,0.29,0.26,0.12,0.02,0.05,0.51,0.83,0.02
OHO3.1,1.00,2.00,1200,1.75,5.45,4.86,1.62,0.77,0.15,0.10,0.02,2.06,0.13,2.29,1.90,2.19,1.62,1.37,1.55,3.92,1.02,1.52,0.11,0.02,0.29,0.46,0.36,0.10,0.06,0.13,0.04,0.36,1.03,0.25,0.22,0.51,1.48,0.18,0.51,0.46,0.51,0.63,0.02,0.15,0.58,0.61,1.64,0.02,1.09,0.46,0.34,0.47,0.51,0.53,0.61,0.02,0.05,1.06,0.06,0.06,0.11,0.17,0.11,0.30,0.28,0.13,0.02,0.05,0.54,0.88,0.02
OHO3.2,2.00,2.00,1200,1.75,5.39,4.80,1.60,0.76,0.15,0.09,0.02,2.03,0.13,2.26,1.88,2.16,1.60,1.35,1.53,3.87,1.00,1.50,0.11,0.02,0.29,0.46,0.36,0.09,0.06,0.13,0.04,0.36,1.02,0.25,0.22,0.51,1.46,0.17,0.50,0.46,0.51,0.63,0.02,0.15,0.57,0.60,1.62,0.02,1.07,0.46,0.33,0.47,0.50,0.52,0.60,0.02,0.05,1.04,0.06,0.06,0.11,0.17,0.11,0.30,0.27,0.13,0.02,0.05,0.54,0.86,0.02
DC1,1.00,1.00,1800,4.38,0.03,0.03,0.64,0.32,0.14,0.41,0.03,1.71,0.37,0.60,0.65,1.45,1.23,1.35,1.16,2.86,0.38,0.92,0.56,0.10,0.40,0.22,0.33,0.10,0.08,0.07,0.10,0.33,0.39,0.45,0.48,0.17,0.88,8.90,0.40,0.36,0.41,0.54,0.03,2.44,0.49,0.55,0.60,0.03,0.14,0.37,0.14,0.42,1.65,4.23,0.52,0.09,0.09,0.99,0.08,0.08,0.03,0.03,0.03,0.18,0.15,0.03,0.10,0.09,0.44,6.45,2.94
DC2,2.00,1.00,1800,4.38,0.03,0.03,0.51,0.26,0.11,0.33,0.03,1.36,0.30,0.48,0.52,1.16,0.98,1.31,0.92,2.81,0.30,0.73,0.45,0.08,0.32,0.17,0.26,0.08,0.06,0.06,0.08,0.26,0.31,0.36,0.38,0.13,0.70,8.99,0.32,0.28,0.33,0.43,0.03,2.36,0.39,0.44,0.48,0.03,0.11,0.30,0.11,0.34,1.69,4.44,0.41,0.07,0.07,0.80,0.06,0.06,0.03,0.03,0.03,0.15,0.12,0.03,0.08,0.07,0.35,6.58,2.80
DC3.1,1.00,2.00,1800,4.38,0.03,0.03,0.57,0.29,0.13,0.36,0.03,1.52,0.33,0.54,0.58,1.29,1.09,1.45,1.03,2.90,0.34,0.82,0.50,0.09,0.36,0.19,0.29,0.09,0.07,0.06,0.09,0.29,0.35,0.40,0.42,0.15,0.78,8.78,0.36,0.32,0.36,0.48,0.03,2.17,0.43,0.49,0.54,0.03,0.13,0.33,0.12,0.38,1.66,4.28,0.46,0.08,0.08,0.88,0.07,0.07,0.03,0.03,0.03,0.16,0.14,0.03,0.09,0.08,0.39,6.63,2.68
DC3.2,2.00,2.00,1800,4.38,0.03,0.03,0.58,0.29,0.13,0.37,0.03,1.55,0.34,0.55,0.59,1.31,1.12,1.49,1.05,2.96,0.34,0.83,0.51,0.09,0.37,0.20,0.30,0.09,0.07,0.06,0.09,0.30,0.36,0.41,0.43,0.15,0.80,8.95,0.37,0.32,0.37,0.49,0.03,2.22,0.44,0.50,0.55,0.03,0.13,0.34,0.13,0.39,1.70,4.37,0.47,0.08,0.08,0.90,0.07,0.07,0.03,0.03,0.03,0.17,0.14,0.03,0.09,0.08,0.40,6.77,2.74
YW1,1.00,1.00,1850,0.60,0.03,0.03,0.50,0.22,0.06,0.28,0.03,1.57,0.28,0.59,0.63,1.45,1.14,1.30,1.01,2.60,0.23,0.54,0.55,0.08,0.29,0.13,0.27,0.11,0.10,0.09,0.09,0.32,0.33,0.38,0.50,0.12,0.75,8.97,0.33,0.43,0.43,0.38,0.03,2.68,0.24,0.38,0.62,0.03,0.11,0.32,0.14,0.23,1.42,5.39,0.42,0.05,0.05,0.64,0.05,0.05,0.03,0.03,0.03,0.10,0.08,0.03,0.03,0.03,0.23,6.70,2.54
YW2,2.00,1.00,1850,0.60,0.03,0.03,0.50,0.22,0.06,0.28,0.03,1.57,0.28,0.59,0.63,1.46,1.15,1.30,1.01,2.61,0.23,0.54,0.55,0.08,0.29,0.13,0.27,0.11,0.10,0.09,0.09,0.32,0.33,0.38,0.50,0.12,0.75,8.99,0.33,0.43,0.43,0.38,0.03,2.68,0.24,0.38,0.62,0.03,0.11,0.32,0.14,0.23,1.42,5.19,0.42,0.05,0.05,0.64,0.05,0.05,0.03,0.03,0.03,0.10,0.08,0.03,0.03,0.03,0.23,6.72,2.55
YW3.1,1.00,2.00,1850,0.60,0.03,0.03,0.55,0.25,0.07,0.30,0.03,1.73,0.31,0.65,0.70,1.60,1.26,1.43,1.11,2.70,0.25,0.59,0.61,0.09,0.32,0.14,0.29,0.12,0.11,0.10,0.10,0.35,0.37,0.42,0.55,0.14,0.83,8.89,0.37,0.48,0.48,0.42,0.03,2.95,0.26,0.42,0.68,0.03,0.12,0.35,0.16,0.25,1.56,5.39,0.46,0.06,0.06,0.70,0.06,0.06,0.03,0.03,0.03,0.11,0.08,0.03,0.03,0.03,0.25,6.94,2.48
YW3.2,2.00,2.00,1850,0.60,0.03,0.03,0.56,0.25,0.07,0.31,0.03,1.75,0.31,0.65,0.71,1.62,1.28,1.45,1.12,2.69,0.26,0.60,0.61,0.09,0.32,0.14,0.30,0.12,0.11,0.10,0.10,0.35,0.37,0.42,0.56,0.14,0.84,8.90,0.37,0.48,0.48,0.42,0.03,2.99,0.27,0.42,0.69,0.03,0.12,0.35,0.16,0.26,1.58,5.45,0.47,0.06,0.06,0.71,0.06,0.06,0.03,0.03,0.03,0.11,0.09,0.03,0.03,0.03,0.26,6.75,2.43
