dose.cmpd,metab
7-Hydroxymatairesinol,Lariciresinol
7-Hydroxymatairesinol,Matairesinol
7-Hydroxymatairesinol,Secoisolariciresinol
Caffeic acid,"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid"
Caffeic acid,"3,4-Dihydroxyphenylacetic acid"
Caffeic acid,"3,4-Dihydroxyphenyllactic acid methyl ester"
Caffeic acid,3-Hydroxybenzoic acid
Caffeic acid,3-Hydroxyhippuric acid
Caffeic acid,3-Hydroxyphenylacetic acid
Caffeic acid,3-Hydroxyphenylpropionic acid
Caffeic acid,4-Hydroxybenzoic acid
Caffeic acid,4-Hydroxyhippuric acid
Caffeic acid,Caffeic acid 3-O-glucuronide
Caffeic acid,Caffeic acid 4-O-glucuronide
Caffeic acid,Caffeoyl C1-glucuronide
Caffeic acid,Dihydrocaffeic acid
Caffeic acid,Ferulic acid
Caffeic acid,Ferulic acid 4-O-glucuronide
Caffeic acid,Feruloyl C1-glucuronide
Caffeic acid,Hippuric acid
Caffeic acid,Isoferulic acid 3-O-glucuronide
Caffeic acid,Isoferuloyl C1-glucuronide
Caffeic acid,m-Coumaric acid
Caffeic acid,p-Coumaric acid
Cyanidin 3-O-glucoside,4'-O-Methylcyanidin 3-O-D-glucoside
Cyanidin 3-O-glucoside,Peonidin 3-O-glucoside
Cyanidin 3-O-glucoside,Protocatechuic acid
Daidzein,3'-Hydroxydaidzein
Daidzein,"6,7,4'-Trihydroxyisoflavone"
Daidzein,"7,8,4'-Trihydroxyisoflavone"
Daidzein,Dihydrodaidzein
Daidzein,Equol
Daidzein,O-Desmethylangolensin
Daidzin,3'-Hydroxydaidzein
Daidzin,"6,7,4'-Trihydroxyisoflavone"
Daidzin,"7,8,4'-Trihydroxyisoflavone"
Daidzin,Daidzein
Daidzin,Dihydrodaidzein
Daidzin,Equol
Daidzin,O-Desmethylangolensin
Danshensu,"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid"
Danshensu,"3,4-Dihydroxyphenyllactic acid methyl ester"
Danshensu,3-Methoxy-4-hydroxyphenyllactic acid
Danshensu,Hydroxydanshensu
Delphinidin 3-O-glucoside,4-O-Methyldelphinidin 3-O-D-glucoside
Delphinidin 3-O-rutinoside,4'-O-Methyldelphinidin 3-O-rutinoside
Dihydrocaffeic acid,Dihydroferulic acid
Dihydrocaffeic acid,Ferulic acid
Dihydrocaffeic acid,Isoferulic acid
Enterolactone,Enterodiol
Enterolactone,Secoisolariciresinol
Eriocitrin,Caffeic acid
Eriocitrin,Eriodictyol
Eriocitrin,Hesperetin
Ferulic acid,Dihydroferuloylglycine
Ferulic acid,Hippuric acid
Ferulic acid,Vanilloylglycine
Gallic acid ethyl ester,Gallic acid
Genistein,4-Hydroxyphenyl-2-propionic acid
Genistein,6'-Hydroxy-O-desmethylangolensin
Genistein,Dihydrogenistein
Hesperidin,Hesperetin
Hesperidin,Hesperetin 3'-O-glucuronide
Hesperidin,Hesperetin 7-O-glucuronide
Hesperidin,Homoeriodictyol
Isoferulic acid,Caffeoyl C1-glucuronide
Isoferulic acid,Isoferuloyl C1-glucuronide
Kakkalide,"5,7-Dihydroxy-8,4'-dimethoxyisoflavone"
Kakkalide,Biochanin A
Kakkalide,Daidzein
Kakkalide,Equol
Kakkalide,Genistein
Kakkalide,Irisolidone
Kakkalide,Irisolidone 7-O-glucuronide
Kakkalide,Isotectorigenin
Kakkalide,Tectoridin
Kakkalide,Tectorigenin
Kakkalide,Tectorigenin 4'-sulfate
Kakkalide,Tectorigenin 7-sulfate
Lariciresinol,7-Hydroxyenterolactone
Lariciresinol,7-Hydroxymatairesinol
Lariciresinol,Cyclolariciresinol
Lariciresinol,Enterodiol
Lariciresinol,Enterolactone
Lariciresinol,Matairesinol
Lariciresinol,Secoisolariciresinol
Matairesinol,7-Hydroxyenterolactone
Matairesinol,7-Hydroxymatairesinol
Matairesinol,Cyclolariciresinol
Matairesinol,Enterodiol
Matairesinol,Enterolactone
Matairesinol,Lariciresinol
Naringenin,Dihydro-p-coumaric acid
Naringenin,Naringenin 5-O-glucuronide
Naringenin,Naringenin 7-O-glucuronide
Naringin,Hesperetin
Naringin,Isosakuranetin
Naringin,Naringenin
Oleuropein,Homovanillyl alcohol
Oleuropein,Hydroxytyrosol
Oleuropein,Tyrosol
Pelargonidin,4-Hydroxybenzoic acid
Procyanidin dimer B2,(-)-Epicatechin
Procyanidin dimer B2,3'-O-Methylepicatechin
Procyanidin dimer B3,"3,4-Dihydroxyphenylacetic acid"
Procyanidin dimer B3,3-Hydroxybenzoic acid
Procyanidin dimer B3,3-Hydroxyhippuric acid
Procyanidin dimer B3,3-Hydroxyphenylacetic acid
Procyanidin dimer B3,3-Hydroxyphenylpropionic acid
Procyanidin dimer B3,3-Hydroxyphenylvaleric acid
Procyanidin dimer B3,4-Hydroxybenzoic acid
Procyanidin dimer B3,4-Hydroxyhippuric acid
Procyanidin dimer B3,Dihydrocaffeic acid
Procyanidin dimer B3,Hippuric acid
Procyanidin dimer B3,m-Coumaric acid
Procyanidin dimer B3,p-Coumaric acid
Procyanidin dimer B3,Protocatechuic acid
Procyanidin dimer B3,Vanillic acid
Procyanidin trimer C2,"3,4-Dihydroxyphenylacetic acid"
Procyanidin trimer C2,3-Hydroxyphenylacetic acid
Procyanidin trimer C2,3-Hydroxyphenylpropionic acid
Procyanidin trimer C2,3-Hydroxyphenylvaleric acid
Procyanidin trimer C2,4-Hydroxybenzoic acid
Procyanidin trimer C2,4-Hydroxyhippuric acid
Procyanidin trimer C2,5-p-Coumaroylquinic acid
Procyanidin trimer C2,Hippuric acid
Procyanidin trimer C2,m-Coumaric acid
Procyanidin trimer C2,p-Coumaric acid
Procyanidin trimer C2,Vanillic acid
Procyanidins,"3,4-Dihydroxyphenylacetic acid"
Procyanidins,3-Hydroxyphenylacetic acid
Procyanidins,3-Hydroxyphenylpropionic acid
Procyanidins,4-Hydroxybenzoic acid
Procyanidins,4-Hydroxyhippuric acid
Procyanidins,5-p-Coumaroylquinic acid
Procyanidins,Hippuric acid
Procyanidins,m-Coumaric acid
Procyanidins,p-Coumaric acid
Procyanidins,Vanillic acid
Puerarin,Daidzein
Puerarin,Dihydrodaidzein
Puerarin,Equol
Punicalagin,Ellagic acid
Punicalagin,Gallagic acid
Punicalagin,Punicalin
Punicalagin,Urolithin A
Punicalagin,Urolithin C
Quercetin,"1,3,5-Trimethoxybenzene"
Quercetin,3-O-Methylgallic acid
Quercetin,3-Phenylpropionic acid
Quercetin,4-Ethylbenzoic acid
Quercetin,4-Ethylphenol
Quercetin,4-O-Methylgallic acid
Quercetin,Benzoic acid
Quercetin,Dihydrocaffeic acid
Quercetin,Dihydro-p-coumaric acid
Quercetin,Ferulic acid
Quercetin,Gallic acid
Quercetin,Isorhamnetin
Quercetin,Methoxyphenylacetic acid
Quercetin,Protocatechuic acid
Quercetin,Vanillic acid
Quercetin 3-O-glucoside,Quercetin
Quercetin 3-O-rutinoside,"2,4-Dihydroxybenzoic acid"
Quercetin 3-O-rutinoside,2-Hydroxy-2-phenylacetic acid
Quercetin 3-O-rutinoside,2-Hydroxyhippuric acid
Quercetin 3-O-rutinoside,2-Hydroxyphenylacetic acid
Quercetin 3-O-rutinoside,"3,4-Dihydroxyphenylacetic acid"
Quercetin 3-O-rutinoside,"3,5-Dihydroxybenzoic acid"
Quercetin 3-O-rutinoside,3-Hydroxyphenylacetic acid
Quercetin 3-O-rutinoside,4-Hydroxybenzoic acid
Quercetin 3-O-rutinoside,4-Hydroxyphenylacetic acid
Quercetin 3-O-rutinoside,Benzoic acid
Quercetin 3-O-rutinoside,Ferulic acid
Quercetin 3-O-rutinoside,Hippuric acid
Quercetin 3-O-rutinoside,Homovanillic acid
Quercetin 3-O-rutinoside,Phenylacetic acid
Quercetin 3-O-rutinoside,Protocatechuic acid
Quercetin 3-O-rutinoside,Sinapic acid
Quercetin 3-O-rutinoside,Syringic acid
Quercetin 3-O-rutinoside,Vanillic acid
Quercetin 4'-O-glucoside,Isorhamnetin
Quercetin 4'-O-glucoside,Quercetin
Quercetin 4'-O-glucoside,Quercetin 3-O-glucuronide
Resveratrol,Dihydroresveratrol
Resveratrol,Resveratrol 3-sulfate
Resveratrol,Trans-Resveratrol
Resveratrol,trans-Resveratrol 3-O-glucuronide
Resveratrol,trans-Resveratrol 3-sulfate
Resveratrol 3-O-glucoside,"trans-Resveratrol 3,4'-disulfate"
Resveratrol 3-O-glucoside,"trans-Resveratrol 3,5-disulfate"
Resveratrol 3-O-glucoside,trans-Resveratrol 3-O-glucuronide
Resveratrol 3-O-glucoside,trans-Resveratrol 3-sulfate
Resveratrol 3-O-glucoside,trans-Resveratrol 4'-O-glucuronide
Rosmarinic acid,3-O-Methylrosmarinic acid
Rosmarinic acid,Caffeic acid
Rosmarinic acid,Ferulic acid
Rosmarinic acid,m-Coumaric acid
Secoisolariciresinol,7-Hydroxyenterolactone
Secoisolariciresinol,7-Hydroxymatairesinol
Secoisolariciresinol,Cyclolariciresinol
Secoisolariciresinol,Cyclolariciresinol
Secoisolariciresinol,Enterodiol
Secoisolariciresinol,Enterolactone
Secoisolariciresinol,Lariciresinol
Secoisolariciresinol,Matairesinol
Secoisolariciresinol di-O-glucoside,Enterodiol
Secoisolariciresinol di-O-glucoside,Enterolactone
Secoisolariciresinol di-O-glucoside,Secoisolariciresinol
Sesaminol 2-O-triglucoside,Enterodiol
Sesaminol 2-O-triglucoside,Enterolactone
Sesaminol 2-O-triglucoside,Sesaminol
Sinapic acid,Dihydrosinapic acid
Sinapic acid,Hippuric acid
Tectoridin,Tectorigenin
Theaflavin,(-)-Epicatechin
Theaflavin,(-)-Epigallocatechin
