,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
PP_664,-0.2752,0.32897,-0.34901,0.11993,-0.29925,0.13921,-0.19422,-0.34699,0.02943,-0.08128,-0.24354,-0.109,0.27244,-0.04869,-0.10617,-0.35051,-0.08584,-0.24797,0.02102,-0.12917,0.00379,-0.14421,-0.04068,0.01426,0.02232,0.02097,-0.28159,0.04958,-0.08273,-0.25846,-0.02716,-0.27889,-0.21627,-0.11679,-0.09568,0.17747
PP_665,0.02904,-0.21567,0.14473,-0.20809,0.22956,-0.04807,-0.02352,0.15821,-0.07045,0.13234,0.11403,0.07518,-0.18758,0.11748,-0.01362,0.08957,0.02538,-0.0758,-0.09383,-0.01332,0.0722,0.08993,0.05198,-0.18361,-0.05312,0.09256,-0.00554,-0.07054,0.05653,0.00203,-0.09586,0.11885,0.22728,0.1553,-0.01492,-0.07142
PP_667,0.11769,0.44737,-0.05279,0.17973,-0.09709,0.02073,0.0137,-0.04503,0.10196,-0.0105,0.10193,0.07481,0.4271,0.12447,0.27024,0.07282,0.31176,0.00325,0.04713,0.0215,0.05343,0.17603,0.32488,0.04922,0.11582,0.08746,0.04037,0.54444,0.1406,0.08168,0.09073,-0.03407,0.0202,-0.008,0.42385,0.52258
PP_669,0.06802,0.00251,0.11485,0.01866,0.02061,0.21038,-0.10914,0.03833,-0.0366,0.21463,-0.0972,-0.04822,-0.16348,-0.0378,-0.15623,-0.19629,-0.06421,-0.00673,0.02154,0.12333,0.08754,0.11801,0.04051,0.00184,0.09198,0.20391,-0.22737,0.01394,0.15375,-0.07422,0.06426,0.04394,0.03495,0.10988,-0.11575,0.03118
PP_670,0.11362,0.43087,-0.06689,0.18268,-0.08337,0.01739,0.02082,-0.03929,0.10795,-0.02292,0.1047,0.10055,0.42841,0.13205,0.26787,0.0958,0.32073,-0.00369,0.05231,0.0075,0.06296,0.16514,0.32982,0.06149,0.1131,0.08144,0.05485,0.55297,0.13001,0.08883,0.0533,-0.02965,0.03374,0.00143,0.42063,0.53506
PP_671,0.1752,-0.01896,0.15593,-0.04996,0.15554,-0.06678,0.08671,0.19106,0.0122,0.05451,0.18185,0.1334,0.07545,0.05963,0.29303,0.22363,0.16589,0.07793,-0.01642,0.03091,0.05117,0.09848,0.12117,-0.03317,0.05097,0.0633,0.19333,0.08381,0.11194,0.13784,0.02207,0.15279,0.22457,0.10706,0.17037,-0.00846
PP_672,0.24942,-0.18852,0.28539,-0.10173,0.27077,-0.05467,0.1678,0.31671,-0.01146,0.22795,0.33118,0.14736,-0.0555,-0.0505,0.2428,0.39674,0.08216,0.20943,-0.02365,0.15673,0.08599,0.11822,0.04312,0.00756,-0.00378,0.12383,0.32908,-0.16995,0.17469,0.2485,-0.09157,0.27035,0.26254,0.07682,0.01264,-0.2285
PP_673,-0.00028,0.02208,0.06638,0.10398,0.06246,0.01108,0.07264,0.07498,0.02058,-0.11581,-0.04912,-0.03336,-0.12361,-0.02078,-0.02944,-0.04571,-0.0307,-0.05152,0.03939,-0.06499,0.08397,-0.05386,-0.04723,-0.07185,0.07371,0.01743,-0.01401,-0.00033,-0.09733,-0.02888,-0.06727,-0.04231,-0.02624,0.11007,0.03285,0.04367
PP_674,-0.08439,0.12675,-0.36886,-0.04052,-0.16003,-0.0295,-0.04119,-0.3356,-0.03398,-0.07689,-0.05135,-0.00588,0.10006,0.17504,0.06348,-0.11463,0.00502,-0.13647,-0.0377,-0.23403,-0.08379,-0.09957,0.08738,-0.06129,0.05268,0.03903,-0.10124,0.11537,-0.10475,-0.12262,-0.09881,-0.19582,-0.10662,-0.03358,0.10461,0.16
PP_675,-0.08308,0.12658,-0.36727,-0.03962,-0.15948,-0.031,-0.0402,-0.33364,-0.03366,-0.07642,-0.05023,-0.00653,0.09926,0.17576,0.06382,-0.11263,0.0054,-0.13472,-0.03809,-0.23326,-0.08374,-0.09877,0.08854,-0.06179,0.05393,0.03959,-0.10104,0.11433,-0.10413,-0.12275,-0.09837,-0.19534,-0.10636,-0.03269,0.10704,0.15932
PP_676,0.20228,0.23648,0.17379,0.11105,0.08901,-0.04135,0.13692,0.20855,0.05489,0.0627,0.21086,0.09494,0.31853,0.0286,0.35984,0.26452,0.24684,0.14502,0.01926,0.10176,0.04647,0.13836,0.23717,0.05972,0.09926,0.08826,0.24057,0.29433,0.12411,0.22472,0.06498,0.14401,0.14558,0.04838,0.25262,0.22594
PP_678,-0.08282,0.12542,-0.36794,-0.04197,-0.15915,-0.03014,-0.04089,-0.33358,-0.03369,-0.07634,-0.04974,-0.00479,0.09904,0.17476,0.06373,-0.11183,0.00683,-0.13713,-0.03754,-0.23378,-0.08447,-0.09793,0.09002,-0.06157,0.05162,0.03831,-0.1023,0.11488,-0.10419,-0.12364,-0.09923,-0.19596,-0.10492,-0.03123,0.10558,0.15997
PP_679,0.20296,-0.07711,0.32493,0.02776,0.23319,-0.00011,0.18394,0.34544,0.0418,0.14456,0.25036,0.11228,0.04057,-0.09556,0.24694,0.34958,0.09964,0.25124,0.06463,0.16836,0.07271,0.03662,0.00883,0.08393,0.03754,0.04399,0.34521,-0.13872,0.14803,0.23616,-0.10037,0.2256,0.20408,0.08178,0.01106,-0.19817
PP_681,0.27874,-0.19944,0.19356,-0.00892,0.27781,-0.1748,0.12875,0.1786,-0.03491,-0.11485,0.14964,0.12992,-0.23812,-0.06645,0.01538,0.20139,0.03736,0.19997,-0.00275,0.01506,-0.00014,0.11586,0.03217,-0.04154,-0.00794,-0.11775,0.18017,-0.03598,-0.05385,0.18558,0.21706,0.30005,0.06546,0.05321,0.07848,-0.1566
PP_682,-0.08405,0.12501,-0.36821,-0.0412,-0.15907,-0.03126,-0.04125,-0.33452,-0.0343,-0.07752,-0.05114,-0.00712,0.09929,0.17484,0.0634,-0.11349,0.00383,-0.13389,-0.0388,-0.23351,-0.08507,-0.09924,0.08753,-0.06191,0.05254,0.03877,-0.10186,0.1136,-0.10494,-0.12405,-0.09754,-0.19559,-0.10661,-0.03374,0.10677,0.15866
PP_683,0.23781,-0.18693,0.27755,-0.10495,0.25686,-0.05843,0.15674,0.30402,-0.01878,0.22003,0.31776,0.13791,-0.04638,-0.0549,0.24245,0.39005,0.08098,0.20317,-0.02821,0.14842,0.08037,0.10864,0.04314,0.00398,-0.00615,0.10822,0.32029,-0.17094,0.16212,0.2392,-0.09104,0.2564,0.26396,0.0755,0.00574,-0.22597
PP_685,0.08338,-0.10235,0.01758,0.04436,0.03217,-0.06088,0.06597,0.0717,0.00797,-0.0535,0.05344,0.20587,-0.07127,0.07231,-0.01428,0.08156,-0.12746,0.16061,0.02388,0.03012,-0.04548,0.05938,-0.04473,-0.04899,0.05908,-0.09726,0.11946,-0.07792,-0.06069,0.07225,0.10664,-0.02135,-0.0138,0.08229,-0.10464,-0.13695
PP_686,-0.00047,0.02196,0.0663,0.10384,0.06238,0.01064,0.07211,0.07488,0.02048,-0.11575,-0.04935,-0.03324,-0.12372,-0.02131,-0.0293,-0.04603,-0.03065,-0.05157,0.03934,-0.06517,0.08403,-0.05412,-0.04737,-0.07173,0.07342,0.01738,-0.01401,-0.00056,-0.09753,-0.02899,-0.06734,-0.04224,-0.02597,0.11049,0.03251,0.04323
PP_687,0.16554,0.02348,0.29716,0.26573,0.2141,0.00542,0.14799,0.25426,0.02231,0.02644,0.07769,0.09832,-0.06874,-0.10059,0.10643,0.16778,0.01397,0.19098,0.08243,0.07911,-0.01024,0.10204,-0.00123,0.11793,0.23529,-0.05013,0.19913,-0.00972,0.04933,0.14256,0.09455,0.21054,0.0707,0.0427,0.08624,-0.06932
PP_688,0.14963,-0.01897,0.31773,0.16547,0.17445,0.22075,0.04881,0.25959,0.0643,0.14694,-0.02354,0.00691,-0.19868,-0.08737,-0.06728,-0.00122,-0.0145,0.18261,0.15236,0.18158,0.12502,0.05516,-0.02402,0.14134,0.13813,0.12474,0.02098,-0.05732,0.19711,0.05359,0.0392,0.17228,0.05569,0.15082,-0.10033,-0.1184
PP_691,0.34044,-0.10067,-0.07044,-0.05205,0.10091,-0.02775,0.3651,-0.00523,0.06622,0.00673,0.21869,0.10692,0.00678,0.09518,0.08035,0.29544,0.08668,0.14091,-0.02529,-0.01951,-0.03244,0.02329,0.00968,-0.03157,-0.09459,0.04675,0.37739,0.07062,0.00535,0.43221,-0.03484,0.04577,0.0444,-0.01673,-0.01787,-0.01364
PP_694,0.00873,-0.04478,0.13307,0.21186,0.16606,-0.07084,-0.03945,0.11252,0.0149,-0.10848,-0.08189,0.0398,-0.148,-0.06971,-0.01794,0.00137,-0.05664,0.08089,0.1312,0.04469,-0.00242,0.01775,-0.11164,0.15207,0.16885,-0.14506,0.02973,-0.12753,-0.01129,-0.04083,0.05657,0.12439,0.04831,0.02277,-0.09485,-0.19998
PP_695,0.0573,0.38959,-0.16047,0.26701,-0.06284,0.02254,0.057,-0.20013,0.01573,0.10903,-0.02203,-0.08467,0.24738,0.13497,0.08628,-0.114,0.06893,-0.05723,-0.01351,-0.06413,0.02888,0.09007,0.19765,-0.02176,0.12165,0.04152,-0.08301,0.19798,0.03075,0.02445,0.16257,-0.10326,-0.04308,0.01043,0.18609,0.30557
PP_696,0.0573,0.38959,-0.16047,0.26701,-0.06284,0.02254,0.057,-0.20013,0.01573,0.10903,-0.02203,-0.08467,0.24738,0.13497,0.08628,-0.114,0.06893,-0.05723,-0.01351,-0.06413,0.02888,0.09007,0.19765,-0.02176,0.12165,0.04152,-0.08301,0.19798,0.03075,0.02445,0.16257,-0.10326,-0.04308,0.01043,0.18609,0.30557
PP_700,0.0573,0.38959,-0.16047,0.26701,-0.06284,0.02254,0.057,-0.20013,0.01573,0.10903,-0.02203,-0.08467,0.24738,0.13497,0.08628,-0.114,0.06893,-0.05723,-0.01351,-0.06413,0.02888,0.09007,0.19765,-0.02176,0.12165,0.04152,-0.08301,0.19798,0.03075,0.02445,0.16257,-0.10326,-0.04308,0.01043,0.18609,0.30557
PP_702,-0.19984,0.45255,-0.34065,0.25945,-0.31825,0.15659,-0.07593,-0.34613,0.12428,-0.09967,-0.22973,-0.09704,0.38367,-0.07085,-0.01923,-0.24906,-0.01637,-0.11902,0.14099,-0.08489,0.02007,-0.15529,-0.06551,0.14127,0.14966,-0.02337,-0.14573,0.15266,-0.06796,-0.15608,0.02535,-0.29858,-0.34427,-0.19492,-0.0021,0.27298
PP_703,-0.3096,0.37379,-0.40308,0.15155,-0.3514,0.16258,-0.15604,-0.3923,0.08325,-0.02912,-0.30131,-0.18221,0.3273,-0.02789,-0.09792,-0.34902,-0.06285,-0.24247,0.08957,-0.12575,0.01326,-0.19045,-0.09273,0.06389,0.04904,0.00857,-0.27959,0.03563,-0.0762,-0.26264,-0.07954,-0.36167,-0.25726,-0.10532,-0.12653,0.20643
PP_704,-0.30024,0.37159,-0.3795,0.15289,-0.31766,0.17435,-0.15058,-0.37283,0.08208,-0.02587,-0.29141,-0.1592,0.31629,-0.05994,-0.10614,-0.34139,-0.07178,-0.21609,0.1124,-0.11222,0.04563,-0.1906,-0.11012,0.08455,0.0477,0.01178,-0.25979,0.02223,-0.06294,-0.24375,-0.0478,-0.32081,-0.2592,-0.11118,-0.14304,0.18708
PP_705,-0.10837,0.1837,0.00547,0.10895,0.04042,0.08384,-0.14016,0.02712,0.10845,0.06931,-0.02745,-0.11189,0.09164,0.07077,0.09137,-0.1634,0.05836,-0.13003,0.16252,0.09949,0.0242,-0.04007,-0.10875,-0.01304,0.10053,0.02302,-0.06014,-0.17137,0.13198,-0.15411,0.03453,-0.07047,0.11239,0.24283,0.00866,-0.06638
PP_706,-0.18782,0.44835,-0.30321,0.13765,-0.30977,0.08449,-0.14304,-0.28135,0.08642,-0.01199,-0.16089,-0.12252,0.43554,0.1135,0.05648,-0.17822,0.10919,-0.23728,0.04688,-0.11696,-0.00127,-0.05407,0.10095,0.02721,0.0495,0.0384,-0.22,0.27131,0.00638,-0.16989,-0.10409,-0.29231,-0.07557,-0.01579,0.09986,0.38628
PP_710,-0.23996,0.22091,-0.27102,0.01952,-0.2047,0.09232,-0.1617,-0.26651,0.0015,0.00118,-0.21668,-0.1415,0.16536,-0.03033,-0.13274,-0.24637,-0.05498,-0.2173,0.02825,-0.13403,0.03014,-0.14898,-0.09475,-0.01532,-0.05785,0.03025,-0.24221,-0.03164,-0.04584,-0.20637,-0.07498,-0.21602,-0.08072,0.00538,-0.15163,0.09945
PP_711,-0.22744,0.44007,-0.36305,0.24361,-0.32709,0.17683,-0.09404,-0.3621,0.1241,-0.0769,-0.25317,-0.11029,0.38072,-0.05766,-0.03992,-0.28746,-0.02705,-0.14307,0.15033,-0.09236,0.0464,-0.16293,-0.0759,0.13916,0.13859,-0.00571,-0.17168,0.11514,-0.05888,-0.18236,0.01413,-0.31095,-0.3273,-0.17235,-0.05121,0.25473
PP_712,-0.31596,0.30022,-0.40743,0.08365,-0.37084,0.07796,-0.1661,-0.39099,0.05846,-0.07747,-0.31611,-0.1965,0.27604,0.03559,-0.11588,-0.32867,-0.06195,-0.29573,0.03477,-0.15868,-0.0366,-0.19828,-0.08866,0.00731,0.02479,-0.01461,-0.30095,0.05386,-0.10875,-0.28464,-0.12166,-0.37451,-0.21329,-0.08853,-0.1025,0.19707
PP_714,-0.22905,0.20067,-0.28405,0.01095,-0.2475,0.0548,-0.15948,-0.28485,-0.00074,-0.00401,-0.22566,-0.15112,0.15125,0.03103,-0.13463,-0.24381,-0.02982,-0.25842,-0.01469,-0.14943,-0.00967,-0.12959,-0.06371,-0.05633,-0.04939,0.03297,-0.26762,-0.01121,-0.06525,-0.22035,-0.12794,-0.25519,-0.06209,0.02364,-0.11655,0.1179
PP_715,-0.29381,0.40309,-0.40172,0.1885,-0.36554,0.15468,-0.13892,-0.39524,0.10152,-0.05973,-0.30344,-0.17676,0.35026,-0.00903,-0.07486,-0.33501,-0.05039,-0.2361,0.10714,-0.11994,-0.0064,-0.19152,-0.08776,0.07818,0.0899,-0.00844,-0.25566,0.06642,-0.07861,-0.2555,-0.06356,-0.37089,-0.2776,-0.11982,-0.0892,0.22721
PP_716,-0.1978,0.45224,-0.34287,0.25527,-0.31716,0.16121,-0.07824,-0.34692,0.12676,-0.10599,-0.22869,-0.095,0.38094,-0.07406,-0.01448,-0.24843,-0.01838,-0.1132,0.1462,-0.0843,0.02433,-0.1523,-0.06608,0.14598,0.14726,-0.02384,-0.14251,0.16209,-0.06714,-0.15589,0.0345,-0.29973,-0.3473,-0.20516,0.005,0.27558
PP_717,-0.2845,0.40744,-0.37779,0.19553,-0.33028,0.18319,-0.12361,-0.37475,0.10157,-0.05181,-0.28622,-0.1537,0.35645,-0.06933,-0.09212,-0.33023,-0.06132,-0.18348,0.13473,-0.1084,0.03725,-0.19427,-0.1111,0.11097,0.08627,0.0002,-0.23035,0.04346,-0.07032,-0.22771,-0.03326,-0.32623,-0.29605,-0.13938,-0.1301,0.21097
PP_718,-0.29708,0.38292,-0.37832,0.16759,-0.32073,0.17735,-0.14176,-0.37266,0.08965,-0.0318,-0.29026,-0.15912,0.32926,-0.06206,-0.10365,-0.33908,-0.06848,-0.20584,0.12047,-0.10861,0.0444,-0.19109,-0.10975,0.09246,0.05945,0.00775,-0.25321,0.02759,-0.06398,-0.23964,-0.04524,-0.32335,-0.27165,-0.11989,-0.14127,0.19393
PP_719,0.08155,0.4344,-0.0982,0.163,-0.09423,0.00818,0.02599,-0.0548,0.10252,0.00868,0.11553,0.07231,0.49722,0.12665,0.33202,0.11887,0.28308,-0.00816,0.06932,0.00383,0.04943,0.11892,0.29782,0.07517,0.12204,0.07356,0.07473,0.47385,0.1192,0.0823,-0.00937,-0.0764,0.05837,0.01438,0.36782,0.48501
PP_722,-0.22637,0.44362,-0.38706,0.23868,-0.35459,0.1361,-0.09751,-0.38319,0.13117,-0.09518,-0.25746,-0.1164,0.39364,-0.01264,-0.02373,-0.28591,0.00382,-0.18434,0.12376,-0.10144,0.00243,-0.16125,-0.05439,0.10517,0.14128,-0.02141,-0.19357,0.14276,-0.07838,-0.2002,-0.01686,-0.34888,-0.30642,-0.15762,0.00303,0.28146
PP_724,-0.23723,0.2229,-0.36969,0.08853,-0.30067,0.09164,-0.11037,-0.37622,0.08004,-0.13428,-0.23272,-0.06209,0.19729,-0.04469,-0.06802,-0.30438,-0.10181,-0.14363,0.12713,-0.10378,-0.02501,-0.14432,-0.10023,0.13895,0.02425,-0.11329,-0.19355,0.05626,-0.15903,-0.19849,0.0744,-0.31833,-0.28585,-0.16416,-0.11127,0.1694
PP_725,0.3446,-0.09588,-0.06347,-0.0481,0.10053,-0.03157,0.37035,0.00035,0.06941,0.00719,0.22719,0.11637,0.00639,0.09772,0.09788,0.30833,0.09767,0.1445,-0.01866,-0.01154,-0.03306,0.02866,0.0238,-0.02073,-0.09319,0.04288,0.38758,0.08019,0.00864,0.44231,-0.03601,0.0488,0.05324,-0.01002,-0.00151,-0.00833
PP_727,0.33562,-0.10046,-0.07175,-0.05693,0.08902,-0.03437,0.36154,-0.00391,0.06695,-0.00041,0.22243,0.10988,0.00465,0.10915,0.08629,0.29803,0.08419,0.13949,-0.02245,-0.02175,-0.03973,0.02322,0.0186,-0.02422,-0.10085,0.03784,0.37626,0.07523,0.00529,0.43322,-0.04124,0.0398,0.04678,-0.01062,-0.00643,-0.01728
PP_728,-0.08598,0.16439,-0.10818,0.07133,-0.10791,0.12079,-0.02971,-0.08985,0.17951,0.00103,-0.0619,-0.00758,0.07671,0.04968,-0.00978,-0.09284,0.05681,-0.13101,0.19891,-0.02065,0.12695,-0.10826,-0.04484,0.14943,0.03515,-0.01065,-0.02616,0.0062,-0.01324,-0.07036,-0.14237,-0.19967,-0.01212,-0.00292,-0.06256,0.0305
PP_730,0.34458,-0.09926,-0.06053,-0.04976,0.10437,-0.03207,0.37184,0.00528,0.06812,0.0091,0.22983,0.1184,0.00874,0.09547,0.10388,0.31211,0.0973,0.1484,-0.01944,-0.01016,-0.03271,0.02807,0.02552,-0.01863,-0.09185,0.04279,0.39284,0.07725,0.00902,0.4434,-0.03763,0.05248,0.05523,-0.01158,-0.00129,-0.01191
