,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
PP_596,-0.04933,-0.1316,0.16332,-0.09194,0.18506,-0.0477,-0.0507,0.16702,-0.08876,0.00895,-0.00352,-0.1142,-0.12523,0.00372,-0.09537,0.01786,-0.04895,-0.07922,-0.03145,-0.03033,-0.03089,-0.01585,-0.03061,-0.05869,-0.10605,-0.05172,-0.07265,-0.10955,-0.00547,-0.05401,-0.02568,0.08201,0.234,0.21212,-0.09218,-0.12799
PP_597,-0.17826,0.02618,-0.23857,0.00568,-0.28492,-0.02885,-0.00573,-0.17417,-0.19829,-0.0908,-0.23276,-0.28706,0.10332,0.08627,-0.11815,-0.21665,-0.16416,-0.01515,-0.12329,-0.10946,-0.11062,-0.09369,-0.11613,-0.15103,-0.03033,-0.04876,-0.15055,-0.2921,-0.15043,-0.11546,-0.17023,-0.16514,-0.14836,-0.05668,-0.48615,-0.0849
PP_598,-0.08266,-0.10839,0.11003,-0.09668,0.115,-0.04587,-0.06037,0.11294,-0.08005,0.00333,-0.03422,-0.14857,-0.09536,0.005,-0.12951,-0.00495,-0.07432,-0.07999,-0.01884,-0.033,-0.05511,-0.03657,-0.05846,-0.05082,-0.1124,-0.06135,-0.10415,-0.13468,-0.0205,-0.08663,-0.01722,0.02647,0.20273,0.19031,-0.12448,-0.1299
PP_600,-0.18008,0.029,-0.24589,0.00638,-0.28545,-0.02402,-0.00698,-0.17882,-0.19897,-0.08688,-0.2351,-0.29063,0.10298,0.06943,-0.12003,-0.21532,-0.16397,-0.01413,-0.11769,-0.10676,-0.10981,-0.0991,-0.11971,-0.14898,-0.03055,-0.05342,-0.14832,-0.29756,-0.15046,-0.11486,-0.17265,-0.17139,-0.1506,-0.05124,-0.49167,-0.08966
PP_601,0.04995,-0.17516,0.19574,-0.07497,0.21471,-0.09548,-0.02914,0.17882,-0.07101,-0.02856,0.06558,-0.01116,-0.176,0.0485,-0.05831,0.09184,-0.00054,0.0084,-0.02865,-0.00952,0.01551,0.08606,0.05604,-0.04358,-0.05483,-0.05213,-0.00801,-0.02706,0.02832,0.00302,0.03879,0.14562,0.21637,0.17858,-0.02977,-0.0875
PP_602,0.06635,-0.21377,0.2408,-0.09584,0.22942,-0.10063,-0.01595,0.21987,-0.07128,-0.02581,0.07691,-0.01566,-0.22065,0.03925,-0.0727,0.09486,-0.00368,0.01381,-0.02873,0.0222,0.01449,0.08247,0.03256,-0.04892,-0.07931,-0.03991,0.01744,-0.06764,0.03159,0.02103,0.00278,0.15254,0.24164,0.19328,-0.07591,-0.15272
PP_603,-0.17921,0.00231,-0.21494,-0.01105,-0.28821,-0.04939,-0.00747,-0.15682,-0.19772,-0.10289,-0.22086,-0.27662,0.09461,0.11264,-0.11381,-0.22819,-0.17282,-0.02346,-0.14449,-0.12271,-0.11939,-0.09266,-0.10772,-0.16163,-0.03796,-0.03585,-0.16405,-0.27695,-0.16023,-0.12907,-0.15751,-0.15161,-0.13991,-0.06976,-0.4597,-0.0694
PP_604,-0.00019,0.02214,0.0662,0.10396,0.06257,0.01083,0.07266,0.07485,0.02058,-0.11581,-0.04895,-0.03321,-0.12367,-0.02052,-0.02941,-0.04558,-0.03072,-0.0514,0.03935,-0.06503,0.08401,-0.05367,-0.04706,-0.07191,0.0736,0.01743,-0.01403,-0.00033,-0.09739,-0.02885,-0.06731,-0.04233,-0.02615,0.10992,0.03302,0.0437
PP_605,-0.00019,0.02214,0.0662,0.10396,0.06257,0.01083,0.07266,0.07485,0.02058,-0.11581,-0.04895,-0.03321,-0.12367,-0.02052,-0.02941,-0.04558,-0.03072,-0.0514,0.03935,-0.06503,0.08401,-0.05367,-0.04706,-0.07191,0.0736,0.01743,-0.01403,-0.00033,-0.09739,-0.02885,-0.06731,-0.04233,-0.02615,0.10992,0.03302,0.04377
PP_606,-0.17921,0.00231,-0.21494,-0.01105,-0.28821,-0.04939,-0.00747,-0.15682,-0.19772,-0.10289,-0.22086,-0.27662,0.09461,0.11264,-0.11381,-0.22819,-0.17282,-0.02346,-0.14449,-0.12271,-0.11939,-0.09266,-0.10772,-0.16163,-0.03796,-0.03585,-0.16405,-0.27695,-0.16023,-0.12907,-0.15751,-0.15161,-0.13991,-0.06976,-0.4597,-0.0694
