bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,urinary.ex,ue.error,error.measure,ue.period
894,174,human,10600303,Hesperetin,Flavanones,302,?-glucuronidase and sulfatase,4.6,1,SD,NA
896,175,human,10600103,Naringenin,Flavanones,272,?-glucuronidase and sulfatase,5.4,1.5,SD,NA
898,175,human,10600303,Hesperetin,Flavanones,302,?-glucuronidase and sulfatase,8.9,2.9,SD,NA
941,191,human,10800203,Quercetin,Flavonols,302,None,1.18,NA,NA,8
942,191,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,0.312,NA,NA,8
992,206,rat,30200803,Ferulic acid,Hydroxycinnamic acids,194,?-glucuronidase and sulfatase,1.7,0.45,SD,NA
995,206,rat,30201103,Rosmarinic acid,Hydroxycinnamic acids,360,?-glucuronidase and sulfatase,0.44,0.21,SD,18
997,206,rat,30201303,m-Coumaric acid,Hydroxycinnamic acids,164,?-glucuronidase and sulfatase,0.67,0.29,SD,18
999,206,rat,30200503,Caffeic acid,Hydroxycinnamic acids,180,?-glucuronidase and sulfatase,1.06,0.35,SD,18
1004,208,human,30201103,Rosmarinic acid,Hydroxycinnamic acids,360,?-glucuronidase and sulfatase,1.5,0.35,NA,48
1007,208,human,30219603,3-O-Methylrosmarinic acid,Hydroxycinnamic acids,374,?-glucuronidase and sulfatase,2.86,1.05,NA,48
1010,208,human,30200803,Ferulic acid,Hydroxycinnamic acids,194,?-glucuronidase and sulfatase,2.86,1.05,NA,48
1015,208,human,30200503,Caffeic acid,Hydroxycinnamic acids,180,?-glucuronidase and sulfatase,0.96,0.51,NA,48
1028,215,rat,30203303,5-Caffeoylquinic acid,Hydroxycinnamic acids,354,?-glucuronidase,0.86,0.12,SEM,NA
1039,215,rat,30201303,m-Coumaric acid,Hydroxycinnamic acids,164,?-glucuronidase,1.6,0.5,SEM,NA
1040,216,rat,30201303,m-Coumaric acid,Hydroxycinnamic acids,164,?-glucuronidase,1.1,0.3,NA,NA
1042,215,rat,30112903,Hippuric acid,Hydroxybenzoic acids,179,?-glucuronidase,36.5,3.9,SEM,NA
1043,216,rat,30112903,Hippuric acid,Hydroxybenzoic acids,179,?-glucuronidase,22.9,3.6,SEM,NA
1044,217,rat,30112903,Hippuric acid,Hydroxybenzoic acids,179,?-glucuronidase,55.3,4.2,SEM,NA
1050,215,rat,30506603,3-Hydroxyphenylpropionic acid,Hydroxyphenylpropanoic acids,166,?-glucuronidase,36.5,3.9,SEM,NA
1126,231,rat,30200803,Ferulic acid,Hydroxycinnamic acids,194,?-glucuronidase and sulfatase,43.4,4.6,NA,NA
1284,242,rat,10500203,(-)-Epicatechin,Flavanols,290,None,0.025,0.006,SEM,NA
1286,242,rat,10511203,3'-O-Methylepicatechin,Flavanols,304,None,0.027,0.008,SEM,NA
